un_043080_0001#0,"""A.P.2028/x/xx"""
un_043080_0010#0,"""おや、いいところに。<br><%me>さんも一緒に<br>アークスの歴史を復習しますか？"""
un_043080_0020#0,"""ヒツギさんとアルくん、興味あるようなので<br>いろいろと資料を開示していたところなんです。"""
un_043080_0030#0,"""はぁ……興味あるというか、あたしは前まで<br>こそこそこういう記録を調べていたんだけど……"""
un_043080_0040#0,"""こうもあけっぴろげに開示されちゃうと<br>今までの苦労は何だったんだ、って思うわね。"""
un_043080_0050#0,"""アークスも、過去の歴史を隠蔽していた時期は<br>ありましたが、今の体制になってからは<br>基本的にフルオープンですよ。"""
un_043080_0060#0,"""みなさんに隠すような後ろめたいこと<br>特になにもしていませんからね！"""
un_043080_0070#0,"""ねえ、シエラ。<br>この、シオンっていう人のことなんだけど……"""
un_043080_0080#0,"""お、アルくん。お目が高い。<br>シオンの記載に目をつけるとは。"""
un_043080_0090#0,"""シオンっていう人は、なんだったの？"""
un_043080_0100#0,"""……んー、少し概念的な話になっちゃいますが<br>シオンはこちらの宇宙の観測者と呼ばれていました。<br>宇宙の歴史を記録する、図書館みたいな存在です。"""
un_043080_0110#0,"""宇宙ができたときから今までの記録を持つ<br>いわゆるひとつの『全知存在』ですね。"""
un_043080_0120#0,"""『全知存在』？<br>なんでも知ってた、ってこと？"""
un_043080_0130#0,"""なんでも知っていたとは思いますよ。<br>ただ、あくまで知っているだけですね。"""
un_043080_0140#0,"""また、人の感情の把握なんかが不得手で<br>それ故に、人との……フォトナーとの<br>交流を求めたわけなんです。"""
un_043080_0150#0,"""……フォトナー。"""
un_043080_0160#0,"""シオンは彼らにフォトンの扱い方を教えて<br>フォトナーはそれを元に発展しました。"""
un_043080_0170#0,"""発展しすぎて、余計な物を作りすぎて<br>ダーカーの元となる【深遠なる闇】まで<br>生み出してしまいましたけどね。"""
un_043080_0180#0,"""……【深遠なる闇】ってのを生み出す前にも<br>フォトナーはいろいろやってたんでしょ？<br>シオンを利用して、なんかいろいろ。"""
un_043080_0190#0,"""そうです、よくご存じですね。<br>その「なんかいろいろ」の結末が<br>【深遠なる闇】の発生だったんですよ。"""
un_043080_0200#0,"""フォトナーは、シオンのコピーを作ろうとして<br>何度も何度も失敗して、最後のどでかい失敗で<br>【深遠なる闇】が生まれた、って感じです。"""
un_043080_0210#0,"""ええっと……つまり、シオンはすごい人で<br>フォトナーは悪い人たちのことで……<br>両方とも、もういないってこと？"""
un_043080_0220#0,"""発展のための云々とかをさておけば<br>ざっくりとはしていますが<br>その認識で間違いはないですね。"""
un_043080_0230#0,"""そして、私はそのすごい人である<br>シオンの子供のシャオの子供。<br>つまり、シオンの孫とも言えます！"""
un_043080_0240#0,"""すごい人の……孫？<br>じゃあシエラって、もしかしてすごい人……？"""
un_043080_0250#0,"""へっへーん、もしかしなくてもすごいですよー！<br>もっともっと尊敬してもいいんですよー！"""
un_043080_0260#0,"""…………"""
un_043080_0270#0,"""１．何か気になることでも？"""
un_043080_0280#0,"""２．何か疑問でも？"""
un_043080_0290#0,"""あ、ううん。<br>そういうわけ……では、あるんだけど。"""
un_043080_0300#0,"""……ああいや、アークスのことで<br>疑問があるってわけじゃないんだけど。"""
un_043080_0310#0,"""マザーに収集を頼まれてた情報のなかに<br>「フォトナーの所在」っていうのがあったんだ。<br>……あれは、何が目的だったんだろう。"""
un_043080_0320#0,"""ふむふむ。アークスの歴史というよりも<br>成り立ちの方から調べていたんでしょうか。<br>あるいは、それとは別の目的が……？"""
un_043080_0330#0,"""……今となっては、わからないわね。"""
