text01#0,"""『アークマスロット』って？"""
text02#0,"""『アークマスロット』の遊び方（基本編）"""
text03#0,"""『アークマスロット』の遊び方（応用編）"""
text04#0,"""戻る"""
Title#0,"""『アークマスロット』について"""
text01#1,"""『アークマスロット』について説明します。<br><br>アークマスロットは、１人プレイ専用の<br><yellow>ハイリスク＆ハイリターンなゲーム<c>です。<br><br>最初に高額なカジノコイン(ＣＣ)を賭け、<br>スロットを回して獲得ＣＣを増やします。<br><br><c 00ffff>獲得ＣＣは全３０ステージをクリアするか<br>自分でゲーム終了した時に精算されます。<c><br><br><yellow>※このゲームには、<br>\u3000「１日のプレイ回数上限」があります。<c>"""
text02#1,"""『バトルゲーム』<br><br>「ファルス・アーム」と戦うモードです。<br>１体を選んで撃破成功すれば、獲得ＣＣ増加！<br><br>ただし、選んだ１体が間違っていた場合、<br><yellow>獲得ＣＣがゼロになりゲームオーバー<c>です。<br>進むか退くか、慎重に判断しましょう！<br><br>最後のステージ３０はボーナスゲームです。<br>ハズレがなく、獲得ＣＣも一気に増えますので<br>ステージ３０目指してがんばりましょう！"""
Title#1,"""『アークマスロット』の遊び方（基本編）について"""
text01#2,"""『アークマスロットの遊び方』<br><br><yellow>ボタンを押すとスロットが回転<c>し、<br>しばらくすると回転が止まります。<br><c 00ffff>この時、同じ図柄が３つそろうと<br>獲得カジノコイン（ＣＣ）が増えます。<c><br><br>ほかにも、『バトルゲーム』に突入する<br><yellow>「ファルス・アーム」<c>柄もあります。<br><br>当たっても外れてもステージが１つ進み、<br>最後の３０ステージに到達すると<br>高配当が得られる<yellow>『フィニッシュボーナス』<c>に<br>挑戦できます。"""
text02#2,"""『コンプリートボーナス』<br><br>「アークマ」３枚と「アークマミ」３枚、<br>「アークマ＆アークマミ」３枚をそろえると<br><yellow>『コンプリートボーナス』<c>が<br>獲得ＣＣに加算されます。<br><br>『コンプリートボーナス』を達成するたびに<br>最大３段階までボーナス量が増えます。"""
text03#1,"""『バトルゲーム』<br><br>当たれば獲得ＣＣにボーナスがつきますが、<br><yellow>外すと獲得ＣＣがゼロになりゲームオーバー<c><br>という、イチかバチかの大勝負です。<br><br>「ファルス・アーム」のうち１体がハズレ、<br>それ以外を選択できれば、成功です。<br><br>撃破に成功すると、表示される倍率ぶん<br>一気に獲得ＣＣが増加して、次に進みます。<br><br><c ff4f3f>撃破に失敗すると、獲得ＣＣはすべて失われ、<br>ゲームオーバーとなります。<c>"""
text04#1,"""『フィニッシュボーナス』<br><br>ステージ３０に到達すると<br>「ダークファルス・エルダー」が出現！<br>部位を１つ選んで、攻撃しましょう。<br><br>ステージ３０は、ボーナスステージなので<br><yellow>ハズレはありません！<c><br><br>選んだ部位により獲得ＣＣ倍率が変わります。<br>ひょっとすると、一瞬でＣＣ長者に！？<br><br><c 00ffff>『フィニッシュボーナス』を終えると<br>獲得ＣＣが精算され、ゲームが終了します。<c>"""
Title#2,"""『アークマスロット』の遊び方（応用編）について"""
text01#3,"""『アークマスロットのコツ』<br><br>アークマスロットにアクセスすると<br>その台の「平均ステージ到達数」を<br>確認できます。<br><br>この数値が大きいほど、奥のステージに<br>到達しやすい台、という目安になります。<br><br>台の状態を見きわめ、ステージ３０の<br>フィニッシュボーナスを狙いましょう！"""
