linewindow#0,"""<br>『パートナーキャラクター』について<br>"""
text00#0,"""『パートナーキャラクター』について"""
text01#0,"""特定の条件を達成すると<br>パートナーキャラクターと一緒に冒険することができます。<br><br>パートナーキャラクターはキャンプシップにある端末から<br>呼び出すことができます。<br><br>ただし、同じルームの中で既に呼ばれている場合は<br>パートナーキャラクターを呼び出すことができません。"""
text01#1,"""よし、んじゃこれで<br>俺からの依頼は完了、ってことで。"""
text02#0,"""どうだ、ちょっとは参考になったか？<br>これがクライアントオーダーの流れだ。"""
text03#0,"""これからは、一人でこういう依頼を<br>受けてはこなしてって<br>繰り返していくんだぜ。"""
text04#0,"""ま、キツイと思ったら後回しとか<br>上手い具合に立ち回っていけよ。<br>無理や無茶は命取りだからな。"""
text05#0,"""丁度良いから、俺のパートナーカードも<br>渡しとくよ。どうしようもない時とか<br>頼ってくれて、構わないぜ？"""
linewindow001#0,"""<br>アークスの仲間たちにクライアントオーダーが発生しました。<br>"""
linewindow002#0,"""<br>ゼノをパートナーとして呼べるようになりました。<br>"""
linewindow003#0,"""<br>次に捜索するマターを選択してください。<br>"""
