st_045070_0001#0,"""A.D.2028/4/17/15:30"""
st_045070_0010#0,"""ヒツギ！"""
st_045070_0020#0,"""おい、ヒツギ、しっかりしろ！"""
st_045070_0030#0,"""無駄無駄、無理無理、ダメダメ。<br>その子、９９％心が死んでるもん。<br>ぴくりとも動かないよ、ザーンネン……"""
st_045070_0040#0,"""……私たちが持っていても、お荷物。<br>あの、コオリって子は怒るかもだけど<br>クーリングオフ。もう、いらない。"""
st_045070_0050#0,"""心が死んでいる、だと……？<br>……てめえら、ヒツギに何を！"""
st_045070_0060#0,"""……私たちは何もしていない。<br>貴方たちが、その子を放っておいたから<br>そうなっただけの話。"""
st_045070_0070#0,"""……女の子の心はもろくて、弱くて、折れやすい。<br>そんなことも知らないなんて、男失格。"""
st_045070_0080#0,"""それに、あんたたちをおびき寄せられたから<br>その子はもう、１００％用済み。"""
st_045070_0090#0,"""１．おびき寄せた？"""
st_045070_0100#0,"""２．ヒツギは用済み？"""
st_045070_0110#0,"""……そう、さっきまでの戦いも<br>こうして話してあげてる時間も<br>全部、ぜーんぶ、ただの時間稼ぎ。"""
st_045070_0120#0,"""……ここに、アークスの最大戦力の<br><%me>さん、貴方を<br>おびきよせることが、目的だったから。"""
st_045070_0130#0,"""さっきの戦闘も、こうして話してあげてるのも<br>全部、１００％、時間を稼ぐため……！"""
st_045070_0140#0,"""なん……だと……？"""
st_045070_0150#0,"""<%me>さん！<br>エンガさん、よかった！\u3000やっと通じた！"""
st_045070_0160#0,"""大変です！\u3000こちらのアークスシップに敵襲です！<br>ＰＳＯ２を介さずに、敵が直接こっちに<br>侵入してきて、管制を乗っ取ってきて……！"""
st_045070_0170#0,"""それだけじゃなく<br>同時に、直接戦力を送り込んできて<br>アークスシップ内に幻創種が……！"""
st_045070_0180#0,"""でも、どうやって防壁に引っかからずに……<br>アークスシップの管理権限を奪うなんて<br>そんなの、シャオ以上の存在でないと…………あっ！"""
st_045070_0190#0,"""おい、シエラさん！\u3000シエラさん！？"""
st_045070_0200#0,"""……ふふ、クゥの分析通りだね。<br>全部、計算通り。やっぱりすごい。"""
st_045070_0210#0,"""<%me>……<br>アークスの最大戦力で、誰よりも強くて<br>……そして、とても甘い。"""
st_045070_0220#0,"""人質を取れば、少数戦力で助けに来る。<br>そのメンバーには必ず<br><%me>が含まれる。"""
st_045070_0230#0,"""ふふ、１００％正解。<br>流石はあたし……<br>稀代の天才数学者、オークゥ＝ミラー。"""
st_045070_0240#0,"""……いつから罠にかけたのか、という<br>疑問に答えをあげるね、お兄さん。"""
st_045070_0250#0,"""「最初から」だよ。<br>妹さんしか見えてなかった、お兄さん。"""
st_045070_0260#0,"""そしてあたしたちも、８０％用済み……"""
st_045070_0270#0,"""……うん、もう大丈夫だと思う。<br>繰り返してた時間も含めて、十分なはずだよ。"""
st_045070_0280#0,"""……でも、もっとマザーに<br>喜んでもらいたいな。"""
st_045070_0290#0,"""へへ……<br>あたしも、１００％同じ気持ちだよ、フル。"""
st_045070_0300#0,"""てめえら、どうしてそこまで……"""
st_045070_0310#0,"""あんたにはわからないわよ、３０％色男。<br>フル以外には、誰にもわかるわけがない。"""
st_045070_0320#0,"""……私とクゥが、わかっているから<br>それでいいの。それだけでいいの。"""
st_045070_0330#0,"""……マザーは、私たちの世界に色をくれた。<br>それ以上の理由はない。<br>それだけで、じゅうぶん。"""
st_045070_0340#0,"""……くっ！<br><%me>、こっちへ！<br>ポータルを使う！"""
st_045070_0350#0,"""……ぶっつけ本番しかない手段だが<br>なんとか上手くいったみたいだな。"""
st_045070_0360#0,"""転移魔法、ポータル。<br>地点登録した場所のみに飛べる<br>一度限りの緊急脱出だ。"""
st_045070_0370#0,"""本当は、このバカ妹がダダこねたときに<br>送り返すための最終手段だったんだが……<br>思わぬところで、役に立ってくれたぜ。"""
st_045070_0380#0,"""あんたにはわからないわよ、３０％色男。<br>フル以外には、誰にもわかるわけがない。"""
st_045070_0390#0,"""……私とクゥが、わかっているから<br>それでいいの。それだけでいいの。"""
st_045070_0400#0,"""……わからない、じゃねえよ。<br>てめえらが理解を拒んでただけだ、阿呆どもが。"""
st_045070_0410#0,"""っとそれよりも、アークスシップだ。<br>なんとかあっちに帰る方法を……"""
st_045070_0420#0,"""な……！？<br>アークスシップが消えた、だと……！？<br>……どうなってるんだ、おい！"""
