extra_assign#0,"""exq_$(0)"""
exq_EnemyAtkDown_010#0,"""攻撃力10%ダウン"""
exq_EnemyAtkDown_020#0,"""攻撃力20%ダウン"""
exq_EnemyAtkDown_030#0,"""攻撃力30%ダウン"""
exq_EnemyAtkDown_040#0,"""攻撃力40%ダウン"""
exq_EnemyAtkDown_050#0,"""攻撃力50%ダウン"""
exq_EnemyAtkDown_060#0,"""攻撃力60%ダウン"""
exq_EnemyAtkDown_070#0,"""攻撃力70%ダウン"""
exq_EnemyAtkDown_080#0,"""攻撃力80%ダウン"""
exq_EnemyAtkDown_090#0,"""攻撃力90%ダウン"""
exq_EnemyAtkUp_010#0,"""攻撃力10%アップ"""
exq_EnemyAtkUp_020#0,"""ATK +20%"""
exq_EnemyAtkUp_030#0,"""攻撃力30%アップ"""
exq_EnemyAtkUp_040#0,"""ATK +40%"""
exq_EnemyAtkUp_050#0,"""攻撃力50%アップ"""
exq_EnemyAtkUp_060#0,"""ATK +60%"""
exq_EnemyAtkUp_070#0,"""攻撃力70%アップ"""
exq_EnemyAtkUp_080#0,"""攻撃力80%アップ"""
exq_EnemyAtkUp_090#0,"""攻撃力90%アップ"""
exq_EnemyAtkUp_100#0,"""攻撃力100%アップ"""
exq_EnemyAtkUp_200#0,"""攻撃力200%アップ"""
exq_EnemyAtkUp_300#0,"""攻撃力300%アップ"""
exq_EnemyAtkUp_400#0,"""攻撃力400%アップ"""
exq_EnemyAtkUp_500#0,"""攻撃力500%アップ"""
exq_EnemyDefDown_010#0,"""防御力10%ダウン"""
exq_EnemyDefDown_020#0,"""防御力20%ダウン"""
exq_EnemyDefDown_030#0,"""防御力30%ダウン"""
exq_EnemyDefDown_040#0,"""防御力40%ダウン"""
exq_EnemyDefDown_050#0,"""防御力50%ダウン"""
exq_EnemyDefDown_060#0,"""防御力60%ダウン"""
exq_EnemyDefDown_070#0,"""防御力70%ダウン"""
exq_EnemyDefDown_080#0,"""防御力80%ダウン"""
exq_EnemyDefDown_090#0,"""防御力90%ダウン"""
exq_EnemyDefUp_010#0,"""防御力10%アップ"""
exq_EnemyDefUp_020#0,"""防御力20%アップ"""
exq_EnemyDefUp_030#0,"""防御力30%アップ"""
exq_EnemyDefUp_040#0,"""防御力40%アップ"""
exq_EnemyDefUp_050#0,"""防御力50%アップ"""
exq_EnemyDefUp_060#0,"""防御力60%アップ"""
exq_EnemyDefUp_070#0,"""防御力70%アップ"""
exq_EnemyDefUp_080#0,"""防御力80%アップ"""
exq_EnemyDefUp_090#0,"""防御力90%アップ"""
exq_EnemyHpUp_10#0,"""HP10%アップ"""
exq_EnemyHpUp_20#0,"""HP +20%"""
exq_EnemyHpUp_30#0,"""HP30%アップ"""
exq_EnemyHpUp_40#0,"""HP +40%"""
exq_EnemyHpUp_50#0,"""HP50%アップ"""
exq_EnemyHpUp_60#0,"""HP +60%"""
