Title#0,"""센트럴 시티의 주민들"""
Summary#0,"""아이나의 고백을 싸울 결의를 다진<br><%me> 일행.<br><br>브루더에게 소개받은<br>센트럴 시티의 주민들로부터<br>전투의 기술을 배운다."""
Objective311#0,"""가이드 마커가 가리키는 아크스와 대화"""
Objective321#0,"""클래스 카운터로 이동"""
Objective331#0,"""서브클래스를 설정"""
Objective341#0,"""스로나의 사이드 태스크를 수주"""
Objective342#0,"""카르테뷔에의 사이드 태스크를 수주"""
Objective343#0,"""란의 사이드 태스크를 수주"""
Objective351#0,"""스로나의 사이드 태스크를 클리어"""
Objective352#0,"""카르테뷔에의 사이드 태스크를 클리어"""
Objective353#0,"""란의 사이드 태스크를 클리어"""
text110#0,"""사이드 태스크 “수집 ： 테임즈 고기”를 수주"""
text120#0,"""사이드 태스크 “수집 ： 테임즈 고기”를 수주"""
