msc_013340_0010#0,"""너희에겐 큰 신세를 졌군."""
msc_013340_0020#0,"""도시락 만들었어. 돌아가는 길에 먹어."""
msc_013340_0030#0,"""고마워."""
msc_013340_0040#0,"""데이터도 제대로 받았어.<br>이번 임무는 이걸로 끝이야."""
msc_013340_0050#0,"""이루마를 구해줘서 고마워.<br>다시 한 번 사례할게."""
msc_013340_0060#0,"""센트럴 캐논 개량은 맡겨 둬.<br>크로포드와 협력해서 진행할 거니까."""
msc_013340_0070#0,"""이제 모두 돌아와서 편히 쉬어.<br>그럼 실례할게."""
msc_013340_0080#0,"""그럼, 이제 가자."""
msc_013340_0090#0,"""조심해서 돌아가."""
msc_013340_0100#0,"""다음에 또 와라…."""
msc_013340_0110#0,"""꼭이야!"""
msc_013340_0120#0,"""응, 당연하지. 그럼 모두 안녕!"""
