msc_013320_0010#0,"""모두들 해냈군요!"""
msc_013320_0020#0,"""정말 훌륭한 팀플레이다!"""
msc_013320_0030#0,"""그럼, 어서 정보를 입수하고 돌아가자."""
msc_013320_0040#0,"""예상한 대로야….<br>여기엔 다크 펄스에 관한 정보가 보존돼 있어."""
msc_013320_0050#0,"""뭐……!?"""
msc_013320_0060#0,"""이게 있다면……,<br>다크 펄스를 쓰러트릴 가능성이 크게 오를 거야."""
msc_013320_0070#0,"""응?\u3000이건…?"""
msc_013320_0080#0,"""할아버지……!?"""
msc_013330_0010#0,"""……이 파일을 찾아낸 사람이 있다면,<br>아마 내 손주들이겠지."""
msc_013330_0020#0,"""너희에게 전해두고 싶은 이야기가 있다."""
msc_013330_0030#0,"""로스트 센트럴에 남겨진 데이터를 조사한 결과,<br>옛날 이 곳을 공격한 다크 펄스는…."""
msc_013330_0040#0,"""아직 성장단계였다는 걸 알게 됐다.<br>불안정하고 진짜 힘을 낼 수 없었던 모양이야."""
msc_013330_0050#0,"""나는, 머지않아 다크 펄스가 다시 나타나<br>완전체로 성장하는 것은 아닐까 예상하고 있다."""
msc_013330_0060#0,"""도움이 될지 확실치 않지만, 로스트 센트럴을 습격한<br>다크 펄스와의 전투 데이터를 남겨뒀다."""
msc_013330_0070#0,"""이걸 토대로, 다크 펄스를 쓰러트릴 방법을 찾아내다오."""
msc_013330_0080#0,"""타이바스, 툴리, 이루마, 쿠카, 메리.<br>아비 노릇도 끝까지 해주지 못했구나…."""
msc_013330_0090#0,"""미안하다. 날 용서해주렴."""
msc_013330_0100#0,"""너희가 훌륭한 사람으로 커주길 바라고 있단다.<br>너희 다섯이 힘을 합치면 누구에게도 지지 않을 훌륭한 리더가 될 수 있을 게야."""
msc_013330_0110#0,"""쭉 사이좋게 지내야 한다."""
msc_013330_0120#0,"""할아버지…."""
msc_013330_0130#0,"""할아버지. 고마워요."""
msc_013330_0140#0,"""할아버지, 걱정 말아요.<br>우리, 제대로 해낼테니까."""
name01#0,"""라이서스"""
