Title#0,"""A.I.S. Vega Training"""
Explanation#0,"""■Training Program<br>――――――――――――――――――――<br>Task 1: Shooting training<br>Task 2: Melee training<br>Task 3: Multi-Lock Missile training<br>Task 4: Counter Shield training<br>Task 4: Step Boost training<br>Task 6: Practical training"""
SimpleExplanation#0,"""Destroy the targets!"""
Training1#0,"""***"""
Retry_10#0,"""***"""
NpcComMsg1#0,"""We will now start pilot training for the A.I.S. Vega, which was developed for space combat."""
NpcComMsg2#0,"""Have you read the piloting manual? You can access it with that Message Pack, so be sure to read it!"""
NpcComMsg3#0,"""During this training program, you'll be destroying virtual targets.<br>Training, begin!"""
NpcComMsg1#1,"""We will now start pilot training for the A.I.S. Vega, which was developed for space combat."""
NpcComMsg2#1,"""Have you read the piloting manual? You can access it with that Message Pack, so be sure to read it!"""
NpcComMsg3#1,"""During this training program, you'll be destroying virtual targets.<br>Training, begin!"""
