name01#0,"""Xiera"""
text01#0,"""さすがです！"""
text02#0,"""ファントムは<br>基本ＰＡとシフトＰＡを組み合わせた<br>戦い方が大切ですよ！"""
text03#0,"""では次に、「テクニックアタック」の<br>訓練をしましょう！"""
text04#0,"""ファントムでは<br>ロッド装備中にテクニックを使用すると<br>自動的に追加攻撃が発動します！"""
text101#0,"""Task 3: <yellow>Hit an enemy with a Rod Technique"""
train_title#0,"""Task 3: <yellow>Hit an enemy with a Rod Technique"""
tut_title#0,"""Technique Attacks"""
text100#0,"""・Use <%SubPalette1> to hit enemies<br>with Techniques"""
text101#1,"""・Use <%SubPalette> to hit enemies<br>with Techniques"""
text102#0,"""Use a Subpalette icon to cast a Technique on an enemy"""
