name01#0,"""Xiera"""
text01#0,"""You did it! Next, let's learn about \""Shift PAs\"". This is important, so listen carefully!"""
text02#0,"""Use your Weapon Action, then <red>during the Weapon Action, use a PA<c>! The effect of the PA will be completely different!"""
text101#0,"""Task 2: <yellow>Use Rod Shift PAs 3 times"""
text03#0,"""For instance, Ruf Konzert becomes an attack that can hit distant enemies!"""
train_title#0,"""Task 2: <yellow>Use Rod Shift PAs 3 times"""
tut_title#0,"""Shift PAs"""
text100#0,"""・Use a Weapon Action with <%PhotonArts><br>・Use a Photon Art with <%WeaponAction> and <%PhotonArts>"""
text100_3b#0,"""・Use a Weapon Action with <%MainPaletteC><br>・Use a Photon Art with <%PhotonArts>"""
tut_win_title#0,"""Shift PAs"""
tut_win_text100#0,"""Phantom weapons can turn their PAs into alternate \""Shift PAs\"" by using them during a Weapon Action.<br><br>These attacks have different properties from normal, so choose which one to use carefully based on your situation.<br><br><c ffff00>※Shift PAs do not activate during charged Weapon Actions.<c>"""
