name01#0,"""Xiera"""
text01#0,"""Now, let's try doing that for real! Try <red>combining basic PAs with Shift PAs<c>!"""
text02#0,"""The basic form of Schwarze Katze makes you retreat from enemies, while the Shift PA form makes you approach enemies."""
text03#0,"""First, <red>use the Shift PA to close in and attack, then use the basic PA to attack again while retreating<c>!"""
text101#0,"""Task 3: <yellow>Use a Rod Shift PA followed by a basic PA 3 times"""
train_title#0,"""Task 3: <yellow>Use a Rod Shift PA followed by a basic PA 3 times"""
tut_title#0,"""Attacking After Shift PAs"""
text100#0,"""・Activate your Weapon Action with <%PhotonArts><br>・Use a PA with <%WeaponAction> and <%PhotonArts><br>・Use another PA"""
text100_3b#0,"""・Activate your Weapon Action with <%MainPaletteC><br>・Use a PA with <%PhotonArts><br>・Use another PA"""
tut_win_title#0,"""『***』について"""
tut_win_text100#0,"""***について説明します。"""
