a1#0,"""Complete a certain Client Order."""
a2#0,"""Complete a certain Client Order."""
a3#0,"""Possess a Super Hard License."""
a4#0,"""Possess a Super Hard License."""
a5#0,"""Possess a Super Hard License."""
Title#0,"""Beach Wars 2019!"""
Explanation#0,"""惑星ウォパルの海岸エリアにて<br>ダーカーや凶暴化した海王種の出現が<br>確認された。現在も被害は広がっており<br>近くの保養地の安全が脅かされている。<br>アークス各員は、至急現地へ向かい<br>混乱を鎮圧し、ビーチの平和を取り戻せ。<br>――――――――――――――――――――<br>失敗条件/制限時間の経過"""
NpcComMsg1#0,"""まもなく転送を開始します。<br>今回の目的は、ビーチで暴れている<br>エネミーをすべて撃退することです！"""
NpcComMsg2#0,"""休暇中に駆けつけてくれた方々は<br>水着姿での参戦となりますが<br>あまりジロジロ見ちゃダメですよ！"""
NpcComMsg3#0,"""それと、ナス？\u3000ナカ？\u3000とかいう<br>原生住民が紛れ込んでいるようです。<br>見つけたら、助けてあげてください！"""
SimpleExplanation#0,"""Head for the final area!"""
