Title#0,"""T: Dengeki! Polytanland!"""
Explanation#0,"""ポリタンランドにようこそ！<br>オレの作ったクエストで遊んでみないか？<br>ルールは簡単。決められた時間までに<br>敵をたくさん倒してハイスコアを目指すんだ。<br>途中発生するエマージェンシートライアルは<br>スコア稼ぎのチャンスだから逃すなよっ！<br>ハイスコア目指して頑張ってくれよなっ！<br>――――――――――――――――――――<br>Earn points until quest ends!<br>Points are shared per quest."""
SimpleExplanation#0,"""Defeat enemies and earn points!"""
NpcComMsg1#0,"""Welcome to Polytanland! Let's aim for the highest score by defeating enemies!"""
NpcComMsg2#0,"""We have setup Emergency Trials that will appear throughout the entire quest."""
NpcComMsg3#0,"""Completing each E-Trial will increase the rate your points are tallied by. So aim high and defeat enemies!"""
a1#0,"""Complete a certain Client Order."""
a2#0,"""Complete a certain Client Order."""
a3#0,"""Possess a Super Hard License."""
a4#0,"""Possess a Super Hard License."""
Area0S#0,"""City Area 1"""
Area0L#0,"""ARKS Ship - City Area 1"""
Area1S#0,"""City Area 1"""
Area1L#0,"""ARKS Ship - City Area 2"""
NPC_QUEST_START#0,"""Now, the quest starts! Defeat enemies and aim for a High Score!"""
NPC_TIME_HALF#0,"""Half time remaining. Aim for a High Score by completing E-Trials to increase the rate!"""
NPC_TIME_1MIN#0,"""One minute remaining. Don't give up until the end!"""
LINE_QUEST_START#0,"""Defeat enemies and earn points!"""
LINE_TIME_1MIN#0,"""One minute remaining!"""
