Title#0,"""In the Driving Rain 2019"""
Explanation#0,"""惑星ナベリウスの森林エリアにおいて<br>強力なエネミーの反応が多数確認された。<br>現地では急激な天候変化が起きている<br>との報告もあり、関連性が疑われる。<br>至急現地にて、これらの調査と共に<br>可能な限りエネミーを撃退せよ。<br>―――――――――――――――――――<br>Quest Points are shared amongst the room.<br>Quest ends when time limit expires."""
NpcComMsg1#0,"""これより、転送を開始します。<br>現在、転送先地帯では強力なエネミーの<br>反応が多数確認されています。"""
NpcComMsg2#0,"""急激な天候変化も発生しており<br>両者の関連性を調査することが<br>今回の目的となります。"""
NpcComMsg3#0,"""現在、転送先地域は晴れていますが<br>先の通り、天候の変化が予想されます。<br>充分注意し、任務にあたってください。"""
SimpleExplanation#0,"""Defeat as many enemies as possible!"""
a1#0,"""Complete a certain Client Order."""
a2#0,"""Complete a certain Client Order."""
a3#0,"""Possess a Super Hard License."""
a4#0,"""Possess a Super Hard License."""
a5#0,"""Possess a Super Hard License."""
Area0S#0,"""Forest - Area 1"""
Area0L#0,"""Planet Naberius: Forest - Area 1"""
Area1S#0,"""Forest - Area 2"""
Area1L#0,"""Planet Naberius: Forest - Area 2"""
