name_7236#0,"""Tim"""
ssn_015150_0001#0,"""Hey, you're one of those Meteorn. A skilled one too, from the looks of you."""
ssn_015150_0002#0,"""By the way, how well do you get on with other people? Teamwork is the most important thing for an ARKS."""
ssn_015150_0003#0,"""Well, we can talk about that more later."""
ssn_015150_0101#0,"""Hey, nice to meet you. I'm Tim, of the Team Support Staff."""
ssn_015150_0102#0,"""Are you a member of a Team?"""
ssn_015150_0103#0,"""A Team is... It's an association of ARKS who've decided to work together long-term."""
ssn_015150_0104#0,"""If its members are working as one, a Team can become stronger and stronger. That's why I've put together a little training program."""
ssn_015150_0105#0,"""Hey, nice to meet you."""
ssn_015150_0106#0,"""If its members are working as one, a Team can become stronger and stronger. That's why I've put together a little training program."""
ssn_015150_0107#0,"""What do you think? Want to give it a try?"""
ssn_015150_0201#0,"""Hey, nice to meet you."""
ssn_015150_0202#0,"""Ah, you've created a Team... Or did you join someone else's?"""
ssn_015150_0203#0,"""If its members are working as one, a Team can become stronger and stronger. That's why I've put together a little training program."""
ssn_015150_0204#0,"""What do you think? Want to give it a try?"""
ssn_015150_0301#0,"""...Oh? Looks like you haven't got yourself a Team yet..."""
ssn_015150_0302#0,"""Well in that case, my training program wouldn't make any sense for you..."""
ssn_015150_0303#0,"""Come back when you've found yourself a Team."""
ssn_015150_0304#0,"""You could create one yourself, and start recruiting members. Or join one created by other ARKS. Either works."""
ssn_015150_0305#0,"""I'll be here when you do."""
ssn_015150_0401#0,"""Hey, how's it going? Is your Team doing well?"""
ssn_015150_0402#0,"""Now, let me show you what I've got on my program right now."""
npc_menu_0001#0,"""Accept Team Tasks"""
npc_menu_0002#0,"""Exchange Team Badges"""
npc_menu_0003#0,"""Close Menu"""
npc_menu_0004#0,"""About Teams"""
npc_menu_0005#0,"""About Team Tasks"""
npc_menu_0006#0,"""Check Team Task Records"""
