name_7664#0,""Хорньян"""
ssn_011171_0010#0,"""Хи-хи-хи, очень хорошо."""
ssn_011171_0020#0,"""...так ты ещё не тектер?"""
ssn_011171_0030#0,"""Если хочешь, чтобы я обучила тебя сражению классом тектер,<br>подойди к “координатору классов” и смени класс."""
ssn_011171_0040#0,"""Кроме того, обязательно изучи “умения и навыки класса” тектер."""
ssn_011171_0050#0,"""В общем, я сначала объясню тебе."""
ssn_011171_0060#0,"""Тектер - класс, который отлично<br>подходит для поддержки союзников."""
ssn_011171_0070#0,"""Некоторые умения и навыки рассчитаны на<br>увеличение атаки и защиты союзников."""
ssn_011171_0080#0,"""Можно сказать, что это класс, который может внести большой<br>вклад в активность друзей, вашей помощью во время боя."""
ssn_011171_0090#0,"""Ну да... Новичкам очень хорошо подойдёт “Shifta-Deband”."""
ssn_011171_0100#0,"""Я дам тебе задачу для тренировки.<br>Пожалуйста, попробуй упомянутое умение."""
