name_7664#0,""Хорньян"""
ssn_011160_0010#0,"""У тебя такое лицо. Ясно...<br>Похоже, что ты только что прибыл(а) сюда."""
ssn_011160_0020#0,"""Что ж, как только ты лучше освоишься,<br>возвращайся ко мне."""
ssn_011160_0030#0,"""Хорошо, что ты пришёл(ла).<br>Я Хорньян - инструктор классов<br>специализирующихся на техниках."""
ssn_011160_0040#0,"""Говоря о тебе, как о ARKS,<br>ты неуклонно растёшь."""
ssn_011160_0045#0,"""Думаю, что пришло время лично провести для тебя тренировку.<br>Каким классом ты хотел(а) бы научиться сражаться?"""
ssn_011160_0050#0,"""Итак, о каком техническом классе ты хочешь узнать?"""
ssn_011160_0060#0,"""Вот как? Всё в порядке. Если передумаешь,<br>всегда можешь обратиться ко мне."""
ssn_011160_0070#0,"""Усердно тренируйся."""
ssn_011160_0080#0,"""Если будешь делать что я скажу, обязательно<br>улучшишь свои технические навыки."""
ssn_011160_0101#0,"""Ну что? Ты сражался(ась) как я учила?"""
ssn_011160_0102#0,"""Эта тренировка показала тебе, насколько важны умения класса.<br>В процессе ты многому научишься и привыкнешь."""
ssn_011160_0103#0,"""Что ж, постарайся."""
