name_7664#0,"""Хорньян"""
ssn_011161_0010#0,"""Хи-хи-хи, очень хорошо."""
ssn_011161_0020#0,"""...так ты ещё не форс?"""
ssn_011161_0030#0,"""Если хочешь, чтобы я обучила тебя сражению классом форс,<br>подойди к “координатору классов” и смени класс."""
ssn_011161_0040#0,"""Кроме того, обязательно изучи “умения и навыки класса” форс."""
ssn_011161_0050#0,"""В общем, я сначала объясню тебе."""
ssn_011161_0060#0,"""Форс - класс, который хорошо подходит для<br>атак техниками на дальней дистанции."""
ssn_011161_0070#0,"""Атака с рассчётом на “слабость к атрибуту”<br>врага - это основная стратегия."""
ssn_011161_0080#0,"""Умения и навыки класса часто используются для увеличения<br>запаса фотонов в теле либо для ускорения<br>восстановления израсходованных фотонов."""
ssn_011161_0090#0,"""Ну да... новичкам лучше для начала ознакомиться с “Photon Flare”."""
ssn_011161_0100#0,"""Я дам тебе задачу для тренировки.<br>Пожалуйста, попробуй упомянутое умение."""
