name_7211#0,"""เซียนดี้"""
name_7224#0,"""ซิทเทร"""
ssn_019140_002_0010#0,"""ขอบคุณที่มานะ ขอแนะนำตัวอีกครั้งก็แล้วกัน"""
ssn_019140_002_0020#0,"""ฉันชื่อเซียนดี้ มีหน้าที่ศึกษาปรากฏการณ์แปลกประหลาดต่างๆ ที่เกิดขึ้นทั่วทั้งฮาลฟา"""
ssn_019140_002_0030#0,"""เหตุผลที่ฉันเรียกคุณมาก็เพื่อจะขอให้คุณช่วยศึกษาปรากฏการณ์ที่กำลังดำเนินอยู่นี้"""
ssn_019140_002_0040#0,"""คุณเห็นไหมว่า ช่วงนี้ฉันสังเกตเห็นการปะทะกับศัตรูเพิ่มสูงขึ้นในทุกพื้นที่เลย"""
ssn_019140_002_0050#0,"""นี่อาจจะเป็นเพราะพวกมันทำกิจกรรมมากขึ้น หรือประชากรของศัตรูเพิ่มขึ้นก็ได้..."""
ssn_019140_002_0060#0,"""พวก ARKS ในหน่วย Combat ต้องต่อสู้กันอยู่ตลอดเวลาเลย"""
ssn_019140_002_0070#0,"""เจ้าหน้าที่ส่วนหนึ่งของหน่วย Logistics ก็ถูกสั่งให้ไปลาดตระเวนและรักษาความปลอดภัยด้วย"""
ssn_019140_002_0080#0,"""นี่ดูไม่เหมือนการโจมตีครั้งใหญ่หรอกนะ แต่ถ้าปล่อยยืดเยื้อต่อไปก็คงไม่ดีแน่"""
ssn_019140_002_0090#0,"""เราเลยกำลังสืบสวนพื้นที่ที่พบเห็นศัตรูมากขึ้นอยู่"""
ssn_019140_002_0100#0,"""ฉันขอให้คุณช่วยไปดูพื้นที่ที่ระบุไว้ให้หน่อยได้ไหม?"""
ssn_019140_002_0110#0,"""ถึงการทำอะไรคนเดียวจะอันตราย แต่คนที่เก่งระดับคุณน่าจะทำได้สบายอยู่แล้วล่ะ"""
ssn_019140_002_0120#0,"""ขอบคุณล่วงหน้าที่ช่วยนะ"""
ssn_019140_002_0210#0,"""ขอบคุณที่มานะ"""
ssn_019140_002_0220#0,"""ฉันอยากจะขอให้คุณช่วยสืบสวนอีกครั้ง..."""
ssn_019140_002_0230#0,"""คุณเห็นไหมว่า ช่วงนี้ฉันสังเกตเห็นการปะทะกับศัตรูเพิ่มสูงขึ้นในทุกพื้นที่เลย"""
ssn_019140_002_0240#0,"""นี่อาจจะเป็นเพราะพวกมันทำกิจกรรมมากขึ้น หรือประชากรของศัตรูเพิ่มขึ้นก็ได้..."""
ssn_019140_002_0250#0,"""พวก ARKS ในหน่วย Combat ต้องต่อสู้กันอยู่ตลอดเวลาเลย"""
ssn_019140_002_0260#0,"""เจ้าหน้าที่ส่วนหนึ่งของหน่วย Logistics ก็ถูกสั่งให้ไปลาดตระเวนและรักษาความปลอดภัยด้วย"""
ssn_019140_002_0270#0,"""นี่ดูไม่เหมือนการโจมตีครั้งใหญ่หรอกนะ แต่ถ้าปล่อยยืดเยื้อต่อไปก็คงไม่ดีแน่"""
ssn_019140_002_0280#0,"""เราเลยกำลังสืบสวนพื้นที่ที่พบเห็นศัตรูมากขึ้นอยู่"""
ssn_019140_002_0290#0,"""ฉันขอให้คุณช่วยไปดูพื้นที่ที่ระบุไว้ให้หน่อยได้ไหม?"""
ssn_019140_002_0300#0,"""ถึงการทำอะไรคนเดียวจะอันตราย แต่คนที่เก่งระดับคุณน่าจะทำได้สบายอยู่แล้วล่ะ"""
ssn_019140_002_0310#0,"""ขอบคุณล่วงหน้าที่ช่วยนะ"""
ssn_019140_002_1010#0,"""<%me> ขอบคุณมากเลยนะที่ช่วยเหลือ"""
ssn_019140_002_1020#0,"""เราหลุดพ้นจากสถานการณ์อันตรายมาได้ ก็เพราะคุณช่วยปราบศัตรูไปตั้งมากมาย"""
ssn_019140_002_1030#0,"""นอกจากนี้ เรายังได้ข้อมูลที่มีค่ามาเยอะเลยด้วย"""
ssn_019140_002_1040#0,"""ดูเหมือนว่าการเคลื่อนไหวของศัตรูจะมีวัฏจักรที่แน่นอนอยู่"""
ssn_019140_002_1050#0,"""ถึงจะพูดได้ว่ามันมีความเกี่ยวข้องกับสิ่งต่างๆ อย่าง Season Symbol ก็ตาม..."""
ssn_019140_002_1060#0,"""แต่แม้ว่าจะมี Symbol มากมายในพื้นที่ ความก้าวร้าวของศัตรูก็ไม่ได้เพิ่มขึ้นตามไปด้วย"""
ssn_019140_002_1070#0,"""เราคงต้องทำการวิจัยเพิ่มเติม เพื่อหาคำอธิบายสำหรับเหตุและผลในเรื่องนี้แล้วล่ะ"""
ssn_019140_002_1080#0,"""ฉันจะรู้สึกขอบคุณมาก หากคุณสามารถช่วยเหลืองานวิจัยของเราได้อีกในอนาคต"""
ssn_019140_002_1090#0,"""ขอบคุณล่วงหน้ามากๆ นะ"""
ssn_019140_002_1100#0,"""เอาล่ะทีนี้..."""
ssn_019140_002_1110#0,"""อืมมม... โอ้ ติดแล้ว ฮัลโหล? พอมีเวลาไหม?"""
ssn_019140_002_1120#0,"""ซิทเทรเหรอ? มีเรื่องอะไรล่ะ?"""
ssn_019140_002_1130#0,"""คนที่เธอคุยด้วย เออ คนที่เพิ่งช่วยเธอไปใช่ไหม?"""
ssn_019140_002_1140#0,"""ฟังนะ ฉันมีเรื่องให้ช่วยหน่อย"""
ssn_019140_002_1150#0,"""ขอโทษทีนะที่เอามาโยนให้หลังเสร็จงานพอดี แต่ฉันอยากให้ช่วยรับงานจากกองเสบียงหน่อย"""
ssn_019140_002_1160#0,"""ถึงจำนวนศัตรูจะลดลงแล้ว แต่ก็ยังมีเยอะเกินกว่าที่เราจะกลับไปทำภารกิจตามตารางปกติได้อยู่ดี"""
ssn_019140_002_1170#0,"""จากที่เห็นวิธีที่คุณจัดการเรื่องต่างๆ ฉันรู้เลยว่าคุณคือคนที่เหมาะกับงานนี้ที่สุด"""
ssn_019140_002_1180#0,"""ตกลงนะ? เราฝากความหวังไว้ที่คุณแล้ว!"""
ssn_019140_002_1190#0,"""ด-เดี๋ยวก่อนสิ... ฮัลโหล? ซิทเทร?"""
ssn_019140_002_1200#0,"""...ดูเหมือนเธอจะไม่ได้เลิกเอาแต่ใจตัวเองน้อยลงเลยนะเนี่ย"""
ssn_019140_002_1210#0,"""ต้องขอโทษด้วยจริงๆ นะ แต่ขอรบกวนให้ช่วยเธอหน่อยได้ไหม?"""
ssn_019140_002_2010#0,"""<%me> ขอบคุณมากเลยนะที่ช่วยเหลือ"""
ssn_019140_002_2020#0,"""เราหลุดพ้นจากสถานการณ์อันตรายมาได้ ก็เพราะคุณช่วยปราบศัตรูไปตั้งมากมาย"""
ssn_019140_002_2030#0,"""นอกจากนี้ เรายังได้ข้อมูลที่มีค่ามาเยอะเลยด้วย"""
ssn_019140_002_2040#0,"""ดูเหมือนว่าการเคลื่อนไหวของศัตรูจะมีวัฏจักรที่แน่นอนอยู่"""
ssn_019140_002_2050#0,"""ถึงจะพูดได้ว่ามันมีความเกี่ยวข้องกับสิ่งต่างๆ อย่าง Season Symbol ก็ตาม..."""
ssn_019140_002_2060#0,"""แต่แม้ว่าจะมี Symbol มากมายในพื้นที่ ความก้าวร้าวของศัตรูก็ไม่ได้เพิ่มขึ้นตามไปด้วย"""
ssn_019140_002_2070#0,"""เราคงต้องทำการวิจัยเพิ่มเติม เพื่อหาคำอธิบายสำหรับเหตุและผลในเรื่องนี้แล้วล่ะ"""
ssn_019140_002_2080#0,"""ฉันจะรู้สึกขอบคุณมาก หากคุณสามารถช่วยเหลืองานวิจัยของเราได้อีกในอนาคต"""
ssn_019140_002_2090#0,"""ขอบคุณล่วงหน้ามากๆ นะ"""
ssn_019140_002_2100#0,"""เอาล่ะทีนี้..."""
ssn_019140_002_2110#0,"""อืมมม... โอ้ ติดแล้ว ฮัลโหล? พอมีเวลาไหม?"""
ssn_019140_002_2120#0,"""ซิทเทรเหรอ? มีเรื่องอะไรล่ะ?"""
ssn_019140_002_2130#0,"""อ้อ ใช่ เออ... ฉันมีคำขอให้ <%me> น่ะ"""
