un_045020_0010#0,"""…하하하핫!<br>우리 둘을 상대로 버티다니!"""
un_045020_0020#0,"""너, 굉장한데!<br>얼마나 노력해서 거기까지 오른 거야!"""
un_045020_0030#0,"""후후, 칭찬해 주셔서 영광입니다.<br>이 힘을 노력의 산물이라고 해 주시는 분은<br>정말 드물거든요."""
un_045020_0040#0,"""아직 이 즐거운 싸움을<br>계속하고 싶습니다만…<br>잠시 볼일이 생겨 버렸습니다."""
un_045020_0050#0,"""이 다음은 언젠가 다시.<br>자리를 바꿔 겨룰 수 있으면 합니다.<br>…그럼 이만."""
un_045020_0060#0,"""…후우!<br>이야, 참, <%me><br>괜찮아?"""
un_045020_0070#0,"""위험한 환창종을 찾으러 왔을 텐데<br>그것보다 터무니없는 걸 만나 버렸네."""
un_045020_0080#0,"""지금 싸움도 아직 진심이 아닌 것 같았어.<br>…솔직히, 끝을 모르겠군."""
un_045020_0090#0,"""이야, 세계는 넓구나!<br>나도 아직 멀었다는 걸 알게 되어 기뻐!<br>단련할 보람이 있단 거지!"""
un_045020_0100#0,"""…그럼 우리도 돌아가 볼까!"""
skit01#0,"""TEST"""
skit02#0,"""임시"""
