st_045020_0001#0,"""A.D.2028/4/17/12:00"""
st_045020_0010#0,"""마더… 오피엘 씨…<br>히츠기… 어떤가요?<br>왜 눈을 뜨지 않는지 아시겠어요?"""
st_045020_0020#0,"""무리야 무리무리! 그거 100% 죽어 있잖아!<br>사선으로 서걱, 그리고 배때지에 푹!<br>소름 돋는다고, 정말."""
st_045020_0030#0,"""…아니, 꼭 그렇진 않아 쿠.<br>좀비 같은 것도 있고. 좀비 같은 것도 보고 싶고.<br>네 그 검, 좀비로 만드는 검이거나 하진 않아?"""
st_045020_0040#0,"""그, 그치만… 히츠기를 구하기 위해선<br>그 방법뿐이라고, 마더가…!<br>마더가 그렇게 말했으니까…!"""
st_045020_0050#0,"""…하지만 설마 이 정도의 힘을<br>보여 줄 줄은 몰랐다.<br>난 네 힘을 잘못 보고 있었나 보군."""
st_045020_0060#0,"""와시노미야 코오리. 사과하겠다.<br>다름 아닌 네 손으로 야사카 히츠기를 상처 입히게 되어<br>…미안하게 생각한다."""
st_045020_0070#0,"""그, 그런, 마더 탓이…"""
st_045020_0080#0,"""…검사 종료.<br>어느 장기에도 이상 없이 정상이다.<br>각성을 방해할 이유가 없어."""
st_045020_0090#0,"""…그렇다면 원인은 마음에 있군."""
st_045020_0100#0,"""마음?"""
st_045020_0110#0,"""그래.<br>에테르의 구현화는 내면의 충동이 발현된 것이다."""
st_045020_0120#0,"""야사카 히츠기는 마음이 불안정한 채<br>그걸 구현화했고, 끝내 산산이 부서져 흩어졌다.<br>…말하자면 마음이 부서진 상태이지."""
st_045020_0130#0,"""무기는 몇 번이든 만들어 낼 수 있지만<br>그것도 마음이 있기에 가능한 일. 물론 목숨도 말이지."""
st_045020_0140#0,"""그렇군. 살아갈 의지를 잃었다고.<br>시적이지만, 그 밖에는 생각하기 어렵죠."""
st_045020_0150#0,"""히츠기야…"""
st_045020_0160#0,"""…하지만 마더의 힘이 있으면<br>히츠기를 원래대로 돌릴 수 있는 거죠?"""
st_045020_0165#0,"""…그건."""
st_045020_0170#0,"""그 말이 맞다, 와시노미야 코오리.<br>하지만 그러려면 우선 야사카 히츠기를 속인 자들을<br>배제해야만 한다. 알겠나?"""
st_045020_0180#0,"""<%me> 그리고 아크스.<br>히츠기 마음을 뒤흔든 사람들.<br>그 사람들을 없애면 되는 거군요?"""
st_045020_0190#0,"""그래. 그걸 달성한다면<br>야사카 히츠기는 저절로 네 곁에 돌아올 것이다."""
st_045020_0200#0,"""…기다려 줘, 히츠기야.<br>내가 반드시 히츠기를 해방해 줄게.<br>더 이상 괴롭지 않도록 해 줄 테니까."""
st_045020_0210#0,"""저런 어린애조차 이용한다…<br>내가 한 일이라지만 기분이 좋지는 않군."""
st_045020_0220#0,"""…심정은 이해합니다, 마더.<br>하지만 이것도 모두 목적을 위해서."""
st_045020_0230#0,"""마더는 부디 신경 쓰지 마시길.<br>누군가가 손을 더럽혀야만 한다면<br>…그건 제 역할입니다."""
st_045020_0240#0,"""손을 더럽히는 건 자기 역할, 이라.<br>하, 과연 실제론 어떨까!<br>젊은 애를 좋아하는 변태일 뿐 아니야?"""
st_045020_0250#0,"""…쿠, 오피엘 씨가<br>구해 준 게 분한 거야?"""
st_045020_0260#0,"""누, 누가 그래!"""
st_045020_0270#0,"""그런 것보다 위험한 건 저 코오리란 애.<br>일편단심도 지나치면 진짜 위험하네.<br>50% 정도 소름이 돋았어."""
st_045020_0280#0,"""…저게 말로만 듣던 얀데레란 거야.<br>실물은 참고가 되네. 메모메모."""
st_045020_0290#0,"""…마더, 저 애 정말 괜찮은 거 맞아?<br>왠~지 처음부터 80% 위험한 느낌인데?"""
st_045020_0300#0,"""…얀데레는 적이든 아군이든<br>다루기 성가시다는 게 정설이기도 하고. 응."""
st_045020_0310#0,"""문제 없다. 코오리의 마음은 그리 쉽게 꺾이지 않아.<br>와시노미야 코오리는 자기 의지로 야사카 히츠기를<br>구하고 싶다 생각해 저렇게 힘을 얻은 것이다."""
st_045020_0320#0,"""오피엘의 영향도 있겠지만…<br>코오리의 소망은 순수하다."""
st_045020_0330#0,"""그보다… 오쿠 밀러.<br>풀 재니스 라스비츠."""
st_045020_0340#0,"""둘에겐 가혹한 임무를 맡기게 되어<br>매우 미안하게 생각한다.<br>내 부족함을 용서해 주길 바란다."""
st_045020_0350#0,"""…아, 아냐.<br>마더, 사과하지 마."""
st_045020_0360#0,"""이게 100% 배역이란 건<br>우리도 알고 있어, 마더.<br>…애초에 내가 계산한 거고 말이야."""
st_045020_0370#0,"""…그걸 위해 지난번 출격은 참았고.<br>준비도 확실히 되어 있으니. 맡겨줘."""
st_045020_0380#0,"""이건 우리만 할 수 있는 역할!<br>우린 마더가 바라는 대로<br>200% 해 주겠어!"""
st_045020_0390#0,"""…세상에서 배제될 뻔한<br>나와 쿠를 구해 줬어.<br>그 은혜는 평생 잊을 수 없어."""
st_045020_0400#0,"""능력이 뛰어난 건 나이랑 관계 없어!<br>그걸 이해해 준 건 마더뿐이었어.<br>마더가 우리를 인정해 줬어."""
st_045020_0410#0,"""…마더 덕분에 난 문학을 깊이 파고들 수 있었어."""
st_045020_0420#0,"""마더 덕분에 나는 수학을 깊이 파고들 수 있었어."""
st_045020_0430#0,"""…그리고 이렇게 힘도 얻을 수 있었어.<br>모르는 걸 잔뜩 알 수 있었어."""
st_045020_0440#0,"""그러니까 나도, 풀도<br>마더를 위해 힘을 전부 쓰고 싶어.<br>목숨을 100% 불태워도 후회하지 않아."""
st_045020_0450#0,"""…은혜를 갚게 해 줘, 마더.<br>우리를 사람으로 대해 준 은혜를.<br>그게 내 가장 첫 메모니까."""
st_045020_0460#0,"""…오쿠 밀러.<br>풀 재니스 라스비츠.<br>너희를 만난 것을 난 자랑스럽게 생각한다."""
