st_045030_0001#0,"""A.D.2028/4/17/12:30"""
st_045030_0010#0,"""여긴…… 어디……?"""
st_045030_0020#0,"""……히츠기는 그런 말 하지 않아."""
st_045030_0030#0,"""맞아, 나, 코오리한테 베여서……"""
st_045030_0040#0,"""……나, 죽어버린 거야?<br>아니…… 하지만 그 때……"""
st_045030_0050#0,"""내가 누나를 구해줄게!<br>……절대로 죽게 하진 않겠어!"""
st_045030_0060#0,"""알의 목소리가…… 들려서…… 따뜻해서……<br>……그 뒤로 어떻게 된 걸까."""
st_045030_0070#0,"""아무래도 상관 없나……<br>……아무래도 상관 없지, 나 따윈.<br>나에 관한, 건…………"""
st_045030_0080#0,"""……뭘 하고 싶은지도<br>뭘 해야 하는지도 모르는채<br>그저 흘러가는대로 거기 있었을 뿐."""
st_045030_0090#0,"""전부 내가 잘못한 거야……<br>그러니 이제 됐어…… 이제 아무것도 하기 싫어."""
st_045030_0100#0,"""그래, 그렇지, 나한테 가치는 없는걸……<br>무기도 부러지고, 코오리한테 지고……<br>……아무한테도 도움이 되지 못하고."""
st_045030_0110#0,"""……애초에 나한테 안 맞는 일이었어.<br>맞아, 전부 내가 하고 싶었던 게 아니라<br>다들 하라 그래서 어쩔 수 없이 했을 뿐."""
st_045030_0120#0,"""학생회에 들어간 것도<br>마더 클러스터에 들어간 것도, 그래.<br>알을 구해준 것도…………!"""
st_045030_0130#0,"""구해줬으면 하는 건 내 쪽이었어!<br>아빠도 엄마도 사라지고……<br>오빠도 이쪽은 안 봐주고……!"""
st_045030_0140#0,"""다들 내 곁에서 떠나가버리니까<br>그게 무서워서 열심히 힘내고 또 힘내고……<br>힘내왔을…… 텐데…………"""
st_045030_0150#0,"""……그런데 아무도 나를 지켜주지 않아.<br>아무도 나와 함께 있어주지 않아!"""
st_045030_0160#0,"""이제 지쳤어……! 이제 싫어……!<br>착한 애로 지내는 건 싫어……!"""
st_045030_0170#0,"""무서운 건 싫어, 아픈 것도 싫어!<br>괴로운 것도, 힘든 것도…… 혼자만 있는 것도<br>이젠 절대로 싫으니까……!"""
st_045030_0180#0,"""내가 뭘 하고 싶은지?<br>내 목적은 무엇인지?<br>……그런 거 나는 알고 있었어."""
st_045030_0190#0,"""나는, 있을 곳이 필요했어.<br>내가 좋아하는 걸 지키고 싶었어.<br>그것뿐인데……"""
st_045030_0200#0,"""……어째서?<br>뭘 잘못한 걸까?<br>어디서 잘못해버린 걸까?"""
st_045030_0210#0,"""가르쳐줘…… 아무나 가르쳐줘……!"""
st_045030_0220#0,"""나, 싫어…… 이젠 싫어……!<br>코오리…… 오빠…… 알……<br><%me>…………!"""
