un_046020_0010#0,"""아, <%me>!<br>드디어…… 제대로 만났네!"""
un_046020_0020#0,"""난 너보다 빨리 일어나버렸고<br>일어나고선 계속 여기저기 나갔으니까……<br>뭔가 정말 오랜만이야……!"""
un_046020_0030#0,"""아하하…… 정말 너무 오랜만이라서<br>……어, 곤란하네.<br>뭐부터 말하면 될까."""
un_046020_0040#0,"""아, 그래, 지난번 일부터!"""
un_046020_0050#0,"""구하러 와줘서 고마워.<br>그때 싸울 수 있는 건 나 혼자였으니까……<br>사실대로 말하면 좀 무서웠어."""
un_046020_0060#0,"""히츠기 덕이야"""
un_046020_0070#0,"""열심히 했네"""
un_046020_0080#0,"""응, 히츠기가 길을 열어줬으니까<br><%me>도<br>올 수 있었던 거지."""
un_046020_0090#0,"""……후훗, 에헤헤.<br>열심히 한 보람이 있었네…… 랄까나."""
un_046020_0100#0,"""모두의 협력이 있었으니까, 지.<br><%me>도 그렇고<br>히츠기도…… 돌아와줘서 말이야."""
un_046020_0110#0,"""나, 히츠기를 격려할 셈이었는데<br>역효과였던 것 같아서……<br>엄청 걱정했었어."""
un_046020_0120#0,"""하지만 저렇게 돌아와줘서……<br>엄청 다부진 눈을 하게 됐어."""
un_046020_0130#0,"""……그러니까 앞으로는<br>그 애가 혼자 떠안지 않도록<br>제대로 지탱해줘야지."""
un_046020_0140#0,"""……아, 지금 이쪽 봤지?<br>옛날의 나를 생각하고 있었지?"""
un_046020_0150#0,"""괜찮아, 난 이제 틀리지 않아.<br>무슨 일 있으면 바로<br><%me>를 의지할테니까."""
un_046020_0160#0,"""난 이제 혼자가 아냐.<br>……그건 절대 잊어버리지 않을테니 괜찮아."""
linewindow001#0,"""마토이(EP4)를 파트너로 부를 수 있게 되었습니다."""
