Area0S#0,"""1-я миссия"""
Area0L#0,"""Корабль ARKS: VR область (Материнский корабль): 1-я миссия"""
Area1S#0,"""2-я миссия"""
Area1L#0,"""Корабль ARKS: VR область (Гнездо даркеров): 2-я миссия"""
Area2S#0,"""3-я миссия"""
Area2L#0,"""Корабль ARKS: VR область (Искажённые тоннели): 3-я миссия"""
Area3S#0,"""4-я миссия"""
Area3L#0,"""Корабль ARKS: VR область (Руины замка Куэнт): 4-я миссия"""
Area4S#0,"""5-я миссия"""
Area4L#0,"""Корабль ARKS: VR область (Меж пространством и временем): 5-я миссия"""
Area21S#0,"""1-я промежуточная зона"""
Area21L#0,"""Корабль ARKS: VR область (Искажённые тоннели): 1-я промежуточная зона"""
Area23S#0,"""2-я промежуточная зона"""
Area23L#0,"""Корабль ARKS: VR область (Материнский корабль Шива): 2-я промежуточная зона"""
Title#0,"""МИССИЯ: Катаклизм"""
Explanation#0,"""Это третья тренировочная программа ARKS.<br>В качестве этапов миссий выступят старый<br>материнский корабль, Догово даркеров,<br>искажённые тоннели и руины замка Куэнт.<br>Перед началом выберите класс из предложенного<br>списка. Обратите внимание, что ваше<br>снаряжение будет меняться в зависимости<br>от выбора.<br>――――――――――――――――――――<br>Задача: Выполнить 5 мисссий<br>※Больше 5 миссий нет."""
NPCArea0#0,"""/atime2.5 /voice11_voice_navi07_013 Это 1-я миссия."""
NPCArea1#0,"""/atime2.5 /voice11_voice_navi07_014 Это 2-я миссия."""
NPCArea2#0,"""/atime2.5 /voice11_voice_navi07_015 Это 3-я миссия."""
NPCArea3#0,"""/atime2.5 /voice11_voice_navi07_016 Это 4-я миссия."""
NPCArea4#0,"""/atime2.5 /voice11_voice_navi07_017 Это 5-я миссия."""
NpcComMsg1#0,"""Скоро начнётся челлендж.<br>Пожалуйста, завершите 5 мисссий<br>до того, как закончится энергия."""
NpcComMsg2#0,"""Это будет очень тяжёлая<br>тренировка, но, пожалуйста,<br>постарайтесь адаптироваться<br>к её мисссиям налету.<br>Удачи вам в бою."""
SimpleExplanation#0,"""Завершите 5 миссий!"""
