Title#0,"""와일드 이스터 2020"""
Explanation#0,"""지구 라스베가스에서 준비 중인<br>이스터 이벤트 행사장 근처에<br>방해되는 환창종과 에스카 다커가<br>엄청나게 출현했어!<br>이대로 계속 날뛴다면<br>이벤트가 취소돼버려……！<br>부탁할게! 이벤트를 무사히 개최하기 위해서<br>회장의 안전을 지켜줄 수 있겠어?<br>――――――――――――――――――――<br>실패 조건/제한시간 경과"""
NpcComMsg1#0,"""지금부터, 전송을 시작합니다.<br>이번 목적은 회장 주변에 출현한<br>환창종들을 격퇴하는 것입니다."""
NpcComMsg2#0,"""건물이 많아서<br>잘 보이지 않는 지형에서의<br>난전이 벌어집니다. 또한 최심부에<br>강력한 반응도 확인되었습니다."""
NpcComMsg3#0,"""회장은 혼란스러운 것 같으니<br>조심해서 나아가도록 하죠.<br>여러분의 건투를 빕니다!"""
SimpleExplanation#0,"""최심부를 향하라!"""
a1#0,"""특정 클라이언트 오더 클리어"""
a2#0,"""특정 클라이언트 오더 클리어"""
a3#0,"""슈퍼 하드 수주 허가증 소지"""
a4#0,"""슈퍼 하드 수주 허가증 소지"""
a5#0,"""슈퍼 하드 수주 허가증 소지"""
