PSEWTrial_PaTechniqueBuff#0,"""<yellow>PA/테크닉 위력 상승<c>"""
PSEWTrial_ArsenalModuleDamageBuff#0,"""<yellow>M.A.R.S.공격력 상승/자연 회복량 증가<c>"""
PSEWTrial_WeakPointDamageBuff#0,"""<yellow>약점 부위에 주는 위력 상승<c>"""
PSEWTrial_OverRecoveryBuff#0,"""<yellow>레스타 사인 사용 후 10초간 능력 상승<c>"""
PSEWTrial_GlideAttackBuff#0,"""<yellow>다이브 어택 위력 상승<c>"""
PSEWTrial_PbGaugeBuff#0,"""<yellow>포톤 블래스트 게이지 축적량 증가<c>"""
PSEWTrial_DodgeQuickAttackBuff#0,"""<yellow>공격 무효화 성공 시 10초간 공격 속도 상승<c>"""
PSEWTrial_CriticalBuff#0,"""<yellow>크리티컬 확률 상승/발생 시 추가 데미지<c>"""
PSEWTrial_RangeDamageBuff#0,"""<yellow>일정 간격마다 자동으로 추가 공격 발생<c>"""
PSEWTrial_Makai_StepShotBuff#0,"""<yellow>스텝 발동 시 추가 공격 발생<c>"""
PSEWTrial_Makai_StepCounterBuff#0,"""<yellow>스텝 시 카운터 발생 가능/위력 상승<c>"""
