name_7026#0,"""파리아"""
msn_027610_0010#0,"""あなたでしたか。"""
msn_027610_0020#0,"""ここでなにを？"""
msn_027610_0030#0,"""なにか、調べもの？"""
msn_027610_0035#0,"""またね！"""
msn_027610_0040#0,"""いえ、散歩をしていただけです。"""
msn_027610_0050#0,"""イルマから、そういう時間も大切だと言われまして。"""
msn_027610_0060#0,"""こうして、あなたとふたりで話すのは、<br>初めてかもしれないですね。"""
msn_027610_0070#0,"""もしよければ、少し話を聞いてもらえませんか？"""
msn_027610_0071#0,"""これまで、私たちは、<br>ゼフェットに指示されるままに行動してきました。"""
msn_027610_0072#0,"""リサージェントアークスの一員として……。"""
msn_027610_0080#0,"""あの日、マノンが任務から逸脱して、<br>ルシエルにやってきたときも同じです。"""
msn_027610_0090#0,"""私は、実験の進行に影響が出ると考え、<br>マノンが任務を継続できる方法を考えました。"""
msn_027610_0100#0,"""そこで、自分の力だけでは問題が解決できないと判断して、<br>あなたたちに助力を求めたのです。"""
msn_027610_0110#0,"""その行動が、どういった結末をもたらすのかなど、<br>当時は考えたりしませんでした。"""
msn_027610_0120#0,"""以前の私たちの思考は画一的で、<br>感情にも波はなく、単純なものでした。"""
msn_027610_0130#0,"""……ですが、ここで出会った人々は、<br>私たちとはまったく異なる存在でした。"""
msn_027610_0140#0,"""ここの人々は、常にいろいろなことを考えていて、<br>いろいろな意見を言いあいます。"""
msn_027610_0150#0,"""ときには対立をしつつも、<br>問題を解決しようと対話を続けます。"""
msn_027610_0160#0,"""思考は、複雑な線を描き、<br>どこに進むのかわからないことも多いのです。"""
msn_027610_0170#0,"""ルシエルで、マノンをモニターしているうちに、<br>彼女が変わっていくのを感じていました。"""
msn_027610_0180#0,"""ですが、その変化がなにを意味するのかは、<br>ずっとわからなかった……。"""
msn_027610_0190#0,"""自分が、この場所に来て、<br>その意味がようやく理解できるようになりました。"""
msn_027610_0200#0,"""ひとつの出来事に対しても、<br>無数の感情が存在する……。"""
msn_027610_0210#0,"""同じ体験をしても、<br>ヒトによって感じかたが違うのだと。"""
msn_027610_0220#0,"""そこから、新たなことばや行動が生まれて、<br>それがさらに別のことばや行動へとつながっていく。"""
msn_027610_0230#0,"""それが\""暮らし\""というものだと、<br>私たちは学んだのです。"""
msn_027610_0240#0,"""それは、ファリア以外のルシエランも？"""
msn_027610_0250#0,"""ファリアと、こんなふうに話せるのがうれしい。"""
msn_027610_0260#0,"""個人差はありますが……。"""
msn_027610_0270#0,"""あなたたちとの交流によって、<br>変化が生じているようです。"""
msn_027610_0280#0,"""私も、こうしてあなたと話せることを、<br>うれしいと感じています。"""
msn_027610_0290#0,"""感情というのは、<br>とても不思議なものです……。"""
msn_027610_0300#0,"""今の私たちに、一番大きな影響を<br>与えてくれるのはイルマです。"""
msn_027610_0310#0,"""イルマは、不思議なヒトです。"""
msn_027610_0320#0,"""研究や実験に対する感情は、<br>とてもシンプルです。"""
msn_027610_0330#0,"""好奇心に従って、<br>ひたすら答えを追い求める……。"""
msn_027610_0340#0,"""そのためには、<br>手段を選ばないところもあります。"""
msn_027610_0350#0,"""……そうした部分は、<br>ゼフェットに似ているのかもしれません。"""
msn_027610_0360#0,"""でも、それ以外のときの行動は、<br>まだ理解できないことが多いです。"""
msn_027610_0370#0,"""食事をしているときに、<br>突然大きな声をあげて、研究室に行ってしまったり……。"""
msn_027610_0380#0,"""クヴァリスで兄妹との約束があると言っていたのに、<br>時間になっても、端末でなにかを調べていたり……。"""
msn_027610_0390#0,"""思考も行動も、一定ではないので、<br>とても興味深い存在です。"""
msn_027610_0400#0,"""私は、その……マノンやアイナ、<br>そしてあなたのことももっと知りたいです。"""
msn_027610_0410#0,"""もっといろいろなことを知り、考えて、<br>なにかを表現できるようになりたいと思っています。"""
msn_027610_0420#0,"""その\""なにか\""が、<br>なんなのかは、まだわからないのですが……。"""
msn_027610_0430#0,"""やりたいこと、見つけられるといいね。"""
msn_027610_0440#0,"""これからのファリアに、期待している。"""
msn_027610_0450#0,"""はい。<br>頑張ります。"""
msn_027610_0460#0,"""はい。<br>ありがとうございます。"""
msn_027610_0470#0,"""いろいろと、<br>ご迷惑をかけるかもしれませんが……。"""
msn_027610_0480#0,"""これからも、よろしくお願いします。"""
