name_7016#0,"""그렌"""
name_7022#0,"""카누이"""
msn_027620_0010#0,"""来ていたのか。"""
msn_027620_0020#0,"""相談中？"""
msn_027620_0030#0,"""お邪魔だった？"""
msn_027620_0035#0,"""またね！"""
msn_027620_0040#0,"""ああ、そんなところだ。"""
msn_027620_0050#0,"""いや、大丈夫だ。"""
msn_027620_0060#0,"""現在のスティアの兵力について、<br>確認をしていた。"""
msn_027620_0070#0,"""長らく、スティアの人員には、<br>大きな動きはなかったのですが……。"""
msn_027620_0080#0,"""最近、ほかのリージョンからの流入が増えていて、<br>態勢の見直しが必要になってきています。"""
msn_027620_0090#0,"""主には、エアリオからの増員だ。"""
msn_027620_0100#0,"""ブルーダーやアイナのおかげだな。"""
msn_027620_0110#0,"""新兵の育成が進んで、<br>戦力的にだいぶ余裕がでてきている。"""
msn_027620_0120#0,"""少し前までは、<br>どこもギリギリでやっていたのだがな。"""
msn_027620_0130#0,"""それに、少数ではありますが、<br>リテムからやってくる者もいます。"""
msn_027620_0140#0,"""リテムから？"""
msn_027620_0150#0,"""リテムにも余裕がある？"""
msn_027620_0160#0,"""互いの戦術や、<br>戦闘技能を学ぶのが主な目的です。"""
msn_027620_0170#0,"""向こうにも、<br>エアリオからの増派が行われています。"""
msn_027620_0180#0,"""結果として、<br>こちらに回せるようになったのでしょう。"""
msn_027620_0190#0,"""このところは、<br>いろいろと変化が大きい。"""
msn_027620_0200#0,"""ヒトとモノの交流が、<br>かつてないほど増えている。"""
msn_027620_0210#0,"""どこのリージョンに属しているかなど、<br>些細なことになっていくのかもしれない。"""
msn_027620_0220#0,"""最初にスティアの兵力と言ったが、<br>もっと大きな規模で、戦力を考える時期なのだろう。"""
msn_027620_0230#0,"""実際、先のスターレスとの戦いでは、<br>リージョンの垣根を越えて用兵が行われた。"""
msn_027620_0240#0,"""戦術レベルでは、<br>まだまだな部分もあったが……。"""
msn_027620_0250#0,"""リージョン間の連携は、<br>うまくいっていたと思う。"""
msn_027620_0260#0,"""そのときの経験をふまえて、<br>部隊編制の見直しをしているというわけです。"""
msn_027620_0261#0,"""それにしても、その相談のために、<br>俺もスティアの外に出ることが増えた。"""
msn_027620_0262#0,"""机に向かう時間も増えて、<br>相対的に武器を手にとる時間が減っている。"""
msn_027620_0263#0,"""デスクワークというのは、<br>どうにも性に合わん。"""
msn_027620_0264#0,"""また、そんなことを……。"""
msn_027620_0270#0,"""本来、部隊長が常に前線に出て戦う<br>という状況がおかしいのです。"""
msn_027620_0280#0,"""あなたからも、<br>なにか言ってあげてください。"""
msn_027620_0290#0,"""リーダーは、デスクワークも大事。"""
msn_027620_0300#0,"""武器をふるうのがアークスの役目。"""
msn_027620_0310#0,"""そのとおりです。"""
msn_027620_0320#0,"""むう……。"""
msn_027620_0330#0,"""……あなたまで、そんなことを……。"""
msn_027620_0340#0,"""アークスの本質を、よく理解している。"""
msn_027620_0350#0,"""……まったく。"""
msn_027620_0360#0,"""いずれにしても、<br>明日をも知れない状況からは大きく変わった。"""
msn_027620_0370#0,"""今のよい流れを維持する、<br>いや、加速させていかなければならない。"""
msn_027620_0380#0,"""そのためには、<br>まだまだお前の力が必要だ。"""
msn_027620_0390#0,"""いろいろと相談をさせてほしい。"""
msn_027620_0400#0,"""もちろん、お前からの相談にも乗る。"""
msn_027620_0410#0,"""これからも、よろしく頼むぞ。"""
