name01#0,"""Сиерра"""
text01#0,"""Действие оружия парных клинков<br>также способно бросать<br><red>Photon Blade<c>."""
text02#0,"""Давайте попробуем использовать<br>действие оружия и поразить<br>врага с помощью Photon Blade."""
text101#0,"""3-я задача: <yellow>Используйте Photon Blade"""
train_title#0,"""3-я задача: <yellow>Использовать Photon Blade"""
tut_title#0,"""フォトンブレードについて"""
text100#0,"""・Чтобы поразить врага<br>Photon Blade <%WeaponAction>"""
text100_3b#0,"""・Чтобы поразить врага<br>Photon Blade <%WeaponAction>"""
tut_win_title#0,"""『デュアルブレードギア』について"""
tut_win_text100#0,"""С освоением классового умения \""Dual Blade Gear\"",<br>Gear отобразится в верхней части основной палитры<br>при экипировке парных клинов.<br><br>Gear будет накапливаться во время атаки <br>парными клинками."""
tut_win_text101#0,"""Photon Blade можно запустить в цель посредством<br>использования действия оружия.<br><br>При атаке части уже поражённой Photon Blade'ом,<br>дополнительно восстанавливается PP<br>и увеличивается шкала Gear."""
