name01#0,"""Сиерра"""
text01#0,"""Реактивные ботинки<br>во время атаки могут<br>выполнять действие<br>оружие называемое<br><red>шифтование<c>!"""
text02#0,"""Попробуйте выполнить его<br>во время обычной атаки!"""
text101#0,"""4-я задача: <yellow>Шифтуйте во время атаки"""
train_title#0,"""4-я задача: <yellow>Шифтовать во время атаки"""
tut_title#0,"""Шифтование"""
text100#0,"""・Обычная атака <%NormalAttack><br>・Во время обычной атаки<br>выполните шифтование <%WeaponAction>"""
text100_3b#0,"""・Обычная атака <%NormalAttack><br>・Во время обычной атаки<br>выполните шифтование <%WeaponAction>"""
tut_win_title#0,"""Шифтование"""
tut_win_text100#0,"""Используя шифтование во время обычной атаки<br>либо использования Фотон Арта, вы сможете<br>увернуться от атаки врага.<br><br>После повторного нажатия на кнопку атаки<br>вы сможете выполнить \""Rolling Kick\""."""
tut_win_text101#0,"""В случае с рядом техник, если вы изучили их ранее,<br>то сможете активировать их посредством<br>Фотон Артов и действия оружия."""
