Begin#0,"""/ci2 1 ティア開始"""
Success#0,"""/mn1 /ci2 2 ティア成功"""
Failure#0,"""/mn1 /ci2 2 ティア失敗"""
Dead#0,"""/mn1 /ci2 2 ティア死亡"""
BuddyDead#0,"""/mn1 /ci2 2 ティア相手死亡"""
Evolution#0,"""/mn1 /ci2 2 ティア発展"""
Begin#1,"""/ci1 1 뭐, 나타난 건 에너미고<br>케이크처럼 보이고 있는 건<br>우리들이겠지만 말이야……"""
Success#1,"""/ci1 2 앗, 잠깐 파티!<br>죄송합니다, 이걸로 실례하겠습니다.<br>고마웠습니다."""
Failure#1,"""/ci4 1 틀림없는 꿈이겠지."""
Dead#1,"""/mn34 /ci4 1 역시, 파티의<br>발상 따위에 어울려 주는 게<br>아니었는데……"""
BuddyDead#1,"""/ci1 1 네 네, 파티<br>재정비하자, 재정비.<br>자지 말고 빨리 돌아가자, 어서, 빨리."""
Evolution#1,"""/ci1 2 아니, 케이크는 관계 없다고<br>생각하지만……"""
Begin#2,"""/ci1 3 하지만, 오늘만큼은 정보상이 아니라<br>아크스로서, 도와줄게요."""
Success#2,"""/ci1 5 파티와 티아 환상의 3명째……<br>부디 잘 부탁드립니다."""
Failure#2,"""파티가 이젠 틀린 것 같으니<br>일단 끌고 돌아가겠습니다.<br>그럼 이만……"""
Dead#2,"""익숙치 않은 일을 해서 그런가……?"""
BuddyDead#2,"""네 네, 빨리 일어나 줘, 파티.<br>오늘의 우리들은 평소와는 급이 다르겠지?"""
