Begin#0,"""開始5244"""
Success#0,"""成功5244"""
Failure#0,"""失敗5244"""
Dead#0,"""自分死亡5244"""
BuddyDead#0,"""相手死亡5244"""
Evolution#0,"""発展5244"""
Begin#1,"""/mn24 /ci2 2 자, 잠깐, 파티!<br>부끄러우니까 그만해!<br>그거, 스스로 입에 담을<br>대사가 아니잖아!"""
Success#1,"""/mn6 /ci2 2 t5 색이 다를 뿐, 신기술 같은 거<br>쓰지 않았으니까!<br>아이들에게 줄 선물의 준비나 해…<br>우리 바보언니가 정말, 죄송합니다."""
Failure#1,"""/mn13 아 정말, 이래선 도움이 아니라<br>방해하러 온 거나 마찬가지잖아…<br>그것보다 즐겨야 하는 건 어린이들!"""
Dead#1,"""/mn5 아아, 눈 앞이 하얗게…<br>추위 때문일까? 부끄러워서일까?<br>선물을 준비하지 않으면…"""
BuddyDead#1,"""/mn11 정말, 파티는 긴장이 없어.<br>선물을 기다리고 있는 사람이 있으니까<br>이쪽이 어떻게든 할 수 밖에 없나."""
