name_7418#0,"""Berkman"""
ssn_014160_0001#0,"""Oh, eres tú. ¿Cómo has estado?"""
ssn_014160_0002#0,"""He estado revisando con cariño todos los datos que me has enviado hasta ahora."""
ssn_014160_0101#0,"""Hola. ¿Tienes un minuto?"""
ssn_014160_0102#0,"""Se me acaba de ocurrir algo en lo que podrías ayudarme de nuevo."""
ssn_014160_0103#0,"""Lo siento, ¡sé que siempre te pido mucho! <br>Bien, así que aquí está la cosa."""
ssn_014160_0104#0,"""No puedo dejar de estudiar todos los datos de imágenes que me has enviado."""
ssn_014160_0105#0,"""Cada instantánea me alegra y siempre me anima."""
ssn_014160_0106#0,"""Esta vez, sin embargo, estoy suspirando por el bosque. Y cuando hablamos de bosques en Aelio, <br>hablamos del bosque de Resol."""
ssn_014160_0107#0,"""Es un poco peligroso allí, pero estoy seguro de que puedes manejarte."""
ssn_014160_0108#0,"""No hay prisa, así que déjalo para cuando tengas algo de tiempo."""
ssn_014160_0109#0,"""Feliz caza."""
ssn_014160_0201#0,"""Oh, ya veo. Bueno, si encuentras tiempo, ven a avisarme."""
