name_7418#0,"""Bergmann"""
ssn_012100_0001#0,"""Oh, hola, eres tú."""
ssn_012100_0002#0,"""He estado cuidando bien los datos que me diste."""
ssn_012100_0101#0,"""Ah, qué oportuno. ¿Tienes un minuto?"""
ssn_012100_0102#0,"""Tengo otra petición con la que espero que me puedas ayudar."""
ssn_012100_0050#0,"""Entonces, ¿recuerdas los datos de la montaña que me conseguiste antes?"""
ssn_012100_0060#0,"""He estado echando un vistazo cada vez que he podido, y me ha hecho llegar una ola de viejos recuerdos."""
ssn_012100_0070#0,"""Lo que quiero decir es que me gustaría tener una vista de gaviota del mar."""
ssn_012100_0080#0,"""Claro que hice muchas peleas allí, pero también hubo otras cosas. Nadar con mis amigos, construir un castillo de arena en Ciudad Central..."""
ssn_012100_0090#0,"""Todavía estoy varado aquí, ¿podrías enviarme datos de esta ubicación?"""
ssn_012100_0100#0,"""Solo navega mientras haces otra cosa. Estoy hundido sin ti."""
ssn_012100_0201#0,"""Oh, ya veo...<br>Bueno, si alguna vez te encuentras buscando un rastro que abordar, házmelo saber."""
