name_7418#0,"""Bergmann"""
ssn_011100_0001#0,"""¿No es Central City lo máximo?"""
ssn_011100_0002#0,"""Cuando haga sol, intenta subirte a la pared. Puedes obtener una gran vista"""
ssn_011100_0101#0,"""Por cierto, ¿tienes un momento? Hay algo que quería preguntarte"""
ssn_011100_0102#0,"""Conoces las numerosas montañas de la región de Aerio, ¿verdad? Solía escalarlas todo el tiempo."""
ssn_011100_0103#0,"""Solía ser un ARKS de primera línea, luchando contra los DOLLS día tras día, pero las heridas me pasaron factura..."""
ssn_011100_0104#0,"""Así que ahora, estoy atrapado aquí abajo en las tierras bajas, trabajando en la Ciudad."""
ssn_011100_0105#0,"""Por una u otra razón, mi carga de trabajo ha aumentado mucho últimamente, así que ya no tengo oportunidad de salir a la calle."""
ssn_011100_0106#0,"""He estado pensando en dónde me gustaría ir si alguna vez tengo tiempo libre. Me gustaría ir a algún lugar en el que haya estado antes, cuando todavía estaba en su máximo rendimiento."""
ssn_011100_0107#0,"""Estás haciendo senderismo por todos lados por tus deberes, ¿no? ¿Podrías subir a esta montaña y enviarme todos los datos que puedas sobre el paisaje?"""
ssn_011100_0108#0,"""No es que sea una alta prioridad. Sólo cuando tengas tiempo"""
ssn_011100_0201#0,"""Ya veo... Tú también estás ocupado. Entonces dejaré mi solicitud para otro momento."""
