name_7418#0,"""Bergmann"""
ssn_013090_0001#0,"""Hola, eres tú. ¿Cómo va todo?"""
ssn_013090_0002#0,"""Gracias de nuevo por conseguirme esos datos antes."""
ssn_013090_0101#0,"""Yo. ¿Tienes algo de tiempo libre?"""
ssn_013090_0102#0,"""Estaba pensando en pedirte que me hicieras otro favor"""
ssn_013090_0201#0,"""Ya veo... Bueno, ven a hablar conmigo cuando tengas algo de tiempo, ¿vale?"""
ssn_013090_0301#0,"""Ahora que has ido a la montaña y al océano estaba pensando en dónde podrías ir después"""
ssn_013090_0302#0,"""Entonces me di cuenta de que, 'Oh sí, los pantanos están bastante cerca.' Casi me olvido de eso."""
ssn_013090_0303#0,"""Es un lugar tranquilo, pero tratar de luchar en el agua hasta las rodillas no es realmente un buen recuerdo, para ser honesto..."""
ssn_013090_0304#0,"""Pero todavía quiero visitar el lugar de nuevo, aunque sólo sea por la nostalgia."""
ssn_013090_0305#0,"""¿Crees que podrías ir allí y traerme algunos datos?"""
ssn_013090_0306#0,"""No te desvíes si estás agobiado, sólo si alguna vez estás por la zona. Gracias."""
