name_7418#0,"""Bergmann"""
ssn_011100_001_0010#0,"""¿No es Central City lo máximo?"""
ssn_011100_001_0020#0,"""Cuando haga sol, intenta subirte a la pared. Puedes obtener una gran vista"""
ssn_011100_001_0030#0,"""Por cierto, ¿tienes un momento? Hay algo que quería preguntarte"""
ssn_011100_001_0035#0,"""De acuerdo, entonces escucha."""
ssn_011100_001_0040#0,"""Conoces las numerosas montañas de la región de Aerio, ¿verdad? Solía escalarlas todo el tiempo."""
ssn_011100_001_0050#0,"""Solía ser un ARKS de primera línea, luchando contra los DOLLS día tras día, pero las heridas me pasaron factura..."""
ssn_011100_001_0060#0,"""Así que ahora, estoy atrapado aquí abajo en las tierras bajas, trabajando en la Ciudad."""
ssn_011100_001_0070#0,"""Por una u otra razón, mi carga de trabajo ha aumentado mucho últimamente, así que ya no tengo oportunidad de salir fuera."""
ssn_011100_001_0080#0,"""He estado pensando en dónde me gustaría ir si alguna vez tengo tiempo libre. Me gustaría ir a algún lugar en el que haya estado antes, cuando todavía estaba en su máximo rendimiento."""
ssn_011100_001_0090#0,"""Estás haciendo senderismo por todos lados por tus deberes, ¿no? ¿Podrías subir a esta montaña y enviarme todos los datos que puedas sobre el paisaje?"""
ssn_011100_001_0100#0,"""No es que sea una alta prioridad. Sólo cuando tengas tiempo"""
ssn_011100_001_0110#0,"""Ya veo... Tú también estás ocupado. Entonces dejaré mi petición para otro momento."""
