11_voice_NPC_5026_100#0,"""Приветики-приветки!<br>Все так заняты, да,<br>ещё как."""
Kuro_01_020#0,"""ふむふむ。<br>あのネコさんの印象ですかぁ？"""
Kuro_01_030#0,"""あいにく、リサにはそういうの<br>よくわからないんですよねぇ。<br>残念ですねぇ、壊れてますからねぇ。"""
Kuro_01_040#0,"""でも、リサと一緒に敵さんたちを<br>弄りに行ってくれたなら、何かが<br>芽生えるのかもしれないですねぇ。"""
Kuro_01_050#0,"""という内容を、あのネコさんに<br>お伝えいただけますかぁ？<br>では、ではではでは。"""
11_voice_NPC_5026_106#0,"""あらあらおやおや<br>どうもどうもこんにちわ。<br>リサにご用ですかあ？"""
Hyui_01_020#0,"""新人への指導方法、ですかあ？<br>リサはですねえ、何よりも楽しんで<br>学ぶことが大事だと思いますねえ。"""
Hyui_01_030#0,"""ただただ、楽しんで<br>敵さんの痛がる所をよおく見て<br>狙って撃てばいいんですよお。"""
11_voice_NPC_5026_100#1,"""ふふっ……楽しいですねえ。<br>参考になれば嬉しいですよお。<br>ではではでは。"""
skit01_010#0,"""Рейнджеры и ганнеры такие<br>славные, так не думешь?<br>Они позволяют много стрелять,<br>стрелять и стрелять, так что<br>можно убить много надоедливых<br>врагов! Понимаешь же?"""
skit01_020#0,"""Винтовки, пусковые установки и<br>пистолеты-пулемёты...<br>Они все крайне важны!<br>Понимаешь же? Хи-хи.<br>Хи-хи-хи. Хи-хи-хи-хи."""
11_voice_NPC_5026_101#0,"""О приветики!<br>Уже вернулся(лась)?!"""
Risa_favs_before_020#0,"""Риса счастлива, так что она<br>отдаст тебе вот это!<br>Понимаешь же?"""
Risa_favs_before_030#0,"""Возьмёшь же это?"""
Risa_favs_after_010#0,"""Рисе не нужно никаких<br>благодарностей. Она<br>не знает что с этим делать."""
Risa_favs_after_020#0,"""Пожалуйста, используй это<br>с пользой!.. И давай проживём<br>достаточно долго, чтобы<br>увидеться снова."""
Risa_favs_after_030#0,"""Хи-хи.<br>Хи-хи-хи-хи-хи."""
Risa_favs_present_010#0,"""Получен <yellow>Synthesizer<c> от Рисы."""
Risa_favs_present_020#0,"""Получен <yellow>Synthesizer<c> от Рисы."""
Risa_favs_present_030#0,"""Получен <yellow>Synthesizer<c> от Рисы."""
Risa_favs_present_040#0,"""Получен <yellow>Sneak Shooter<c> от Рисы."""
Risa_favs_present_050#0,"""Получен <yellow>Synthesizer<c> от Рисы."""
Risa_favs_present_060#0,"""Получен <yellow>Synthesizer<c> от Рисы."""
Risa_favs_present_070#0,"""Получен <yellow>Synthesizer<c> от Рисы."""
