msc_020080_0010#0,"""Do this over here..."""
msc_020080_0020#0,"""And that over there..."""
msc_020080_0030#0,"""Yeah..."""
msc_020080_0040#0,"""Okay, ready!<br>Just say the word!"""
msc_020080_0050#0,"""Let's settle this!"""
msc_020080_0060#0,"""Central Cannon...<br>FIRE!"""
msc_020080_0070#0,"""...Not done yet!"""
msc_020080_0080#0,"""You're not going anywhere!"""
msc_020080_0090#0,"""I'll leave the rest to you."""
msc_020080_0100#0,"""Our fallen comrades..."""
msc_020080_0110#0,"""...They're with you now."""
msc_020080_0120#0,"""I know you can do it!"""
msc_020080_0130#0,"""Please!"""
msc_020080_0140#0,"""For peace on Halpha!"""
msc_020080_0150#0,"""Yeah!"""
