ssc_507030_0010#0,"""อ้า <%me>"""
ssc_507030_0020#0,"""กำลังทำอะไรอยู่เหรอ?"""
ssc_507030_0030#0,"""มีธุระข้างล่างนั่นเหรอ?"""
ssc_507030_0040#0,"""เราได้รับการร้องขอจากคนในเอลิโอ (Aelio)<br>ให้มาสืบสวนพื้นที่ชั้นล่างของมาคาร์ด (Maqaad) น่ะ"""
ssc_507030_0050#0,"""ฉันก็แค่มารับลม<br>ระหว่างที่กำลังรวบรวมความคิดน่ะ"""
ssc_507030_0060#0,"""ใช่ มาทำตามคำร้องขอ<br>จากคนในเอลิโอ (Aelio) น่ะ"""
ssc_507030_0070#0,"""ฉันกำลังจะลงไปที่ชั้นล่างของมาคาร์ด (Maqaad)<br>เพื่อดำเนินการสืบสวนน่ะ"""
ssc_507030_0080#0,"""อย่างที่เธอน่าจะรู้ดี มี<br>ห้องโถงขนาดใหญ่อยู่เลยทางเข้านี้ไป"""
ssc_507030_0090#0,"""ห้องโถงที่เรียงรายไปด้วย<br>โครงสร้างขนาดมหึมามากมาย"""
ssc_507030_0100#0,"""ตามเอกสารในอดีต สถานที่ทั้งหมดนี้<br>ถูกเรียกว่า 'โรงผลิตพลังงาน (Energy Plant)' น่ะ"""
ssc_507030_0110#0,"""หรือพูดง่ายๆ ก็คือ อุปกรณ์ที่อยู่ข้างในนั้น<br>ถูกสร้างขึ้นมาเพื่อผลิตพลังงานบางอย่างนั่นแหละ"""
ssc_507030_0120#0,"""น่าเสียดายที่ก่อนหน้านี้ พวกเราไม่สามารถแบ่ง<br>กำลังคนไปทำการสืบสวนอะไรที่มากกว่านั้นได้เลย"""
ssc_507030_0130#0,"""พวกเรารู้จักสถานที่แห่งนี้เพียงแค่ในฐานะ<br>'ฐานที่มั่นของเรนัส รีเทม (Lenus Retem)' เท่านั้น"""
ssc_507030_0140#0,"""แต่ตอนนี้ พวกเรามีเวลา<br>ว่างมากขึ้นนิดหน่อยแล้วล่ะ"""
ssc_507030_0150#0,"""ซึ่งนั่นก็นำฉันมาสู่คำร้องขอจากเอลิโอ (Aelio) ในครั้งนี้ไงล่ะ"""
ssc_507030_0160#0,"""ฉันสนใจสถานที่แห่งนี้มา<br>สักพักแล้ว ก็เลยลงชื่อขอทำภารกิจนี้ไปน่ะ"""
ssc_507030_0170#0,"""ทางเอลิโอ (Aelio) ก็ส่งนักสืบสวนของพวกเขามาด้วยเหมือนกัน<br>ดังนั้นช่วงนี้พวกเราเลยได้ข้อมูลดีๆ มาเยอะเลยล่ะ"""
ssc_507030_0180#0,"""มันเป็นประสบการณ์ใหม่ที่<br>มีค่ามากสำหรับฉันเหมือนกันนะ"""
ssc_507030_0190#0,"""ถึงแม้ว่าหลายๆ อย่างจะดำเนินไปอย่างล่าช้า แต่พวกเราก็ค้นพบ<br>สิ่งที่น่าสนใจบางอย่างเกี่ยวกับโรงผลิตพลังงานแห่งนี้ล่ะ"""
ssc_507030_0200#0,"""อย่างเช่นว่าชิ้นส่วนบางอย่าง<br>ของมันยังคงทำงานอยู่น่ะ"""
ssc_507030_0210#0,"""และดูเหมือนว่าพลังงานส่วนหนึ่งที่มัน<br>ผลิตได้ จะถูกส่งไปยังเมืองรีเทม (Retem City) ด้วยนะ"""
ssc_507030_0220#0,"""ดูเหมือนว่ามันจะสามารถทำงานได้แบบไม่มีวันหยุด<br>โดยที่ไม่ต้องมีใครคอยบำรุงรักษาเลยล่ะ"""
ssc_507030_0230#0,"""มันไม่เหมือนกับเครื่องจักรใดๆ ที่ฉันพอจะจินตนาการออกเลยล่ะ"""
ssc_507030_0240#0,"""ไม่ว่ายังไง มันก็ตลกร้ายดีนะที่ศูนย์วิจัยที่ถูกสร้างขึ้นโดย<br>ศัตรูของเรา กลับถูกใช้เป็นพลังงานให้กับการเอาชีวิตรอดของเราน่ะ"""
ssc_507030_0250#0,"""...มีอีกเรื่องนึงนะ"""
ssc_507030_0260#0,"""ภายในศูนย์วิจัยมาคาร์ด (Maqaad) เราพบ<br>บางสิ่งที่เกี่ยวข้องกับพวก DOLLS ด้วยล่ะ"""
ssc_507030_0270#0,"""บางสิ่งที่ว่าคืออะไรเหรอ?"""
ssc_507030_0280#0,"""เกี่ยวข้องกันในแง่ไหนเหรอ?"""
ssc_507030_0290#0,"""ฉันยังไม่รู้รายละเอียดหรอกนะ"""
ssc_507030_0300#0,"""รู้แค่ว่าผู้ตรวจสอบจากเอลิโอ (Aelio) ได้พบกับบางสิ่งที่มี<br>ความเชื่อมโยงกับพวก DOLLS ในส่วนหนึ่งของศูนย์วิจัยน่ะ"""
ssc_507030_0310#0,"""อ้า มันยังอยู่ในระหว่างการสืบสวนน่ะ"""
ssc_507030_0320#0,"""รู้แค่ว่า ในส่วนหนึ่งของศูนย์วิจัย พวกเขาพบกับบางสิ่ง<br>ที่มีองค์ประกอบคล้ายคลึงกับพวก DOLLS น่ะ"""
ssc_507030_0330#0,"""พวกเราคิดมาตลอดว่ามันก็แค่สิ่งก่อสร้าง<br>ที่พวก DOLLS เลือกจะมารวมตัวกัน..."""
ssc_507030_0340#0,"""แต่ถ้าพวก DOLLS มีความเกี่ยวข้องกันบางอย่าง<br>กับตัวสิ่งก่อสร้างนี้ล่ะก็ มันก็ทำให้เกิดข้อสงสัยบางอย่างขึ้นมาแล้วล่ะ"""
ssc_507030_0350#0,"""...ก็นะ ตอนนี้เราก็ยังสรุป<br>อะไรไม่ได้หรอกนะ"""
ssc_507030_0360#0,"""ฉันจะแจ้งให้พวกเธอทราบนะ<br>ถ้าพวกเราค้นพบอะไรเพิ่มเติม"""
ssc_507030_0370#0,"""ฟู่... เอาจริงๆ นะ ใครจะไปรู้ล่ะว่าฉันจะเจออะไร<br>ที่น่าสนใจนอกเหนือจากการต่อสู้หรือดนตรีน่ะ?"""
ssc_507030_0380#0,"""บางทีถ้าเป็นชาติหน้า ฉันอาจจะ<br>กลายมาเป็นนักวิจัยก็ได้นะ"""
ssc_507030_0390#0,"""ให้ตายสิ ชีวิตคนเรานี่มันเป็นแค่เหตุการณ์<br>ที่คาดเดาไม่ได้จริงๆ เลยเนอะ ว่ามั้ย?"""
