ssc_507010_0010#0,"""อ้า <%me>"""
ssc_507010_0020#0,"""นี่... พอจะมีเวลา<br>ฟังเรื่องเก่าๆ สักหน่อยไหม?"""
ssc_507010_0030#0,"""น่าสนใจดีนะ"""
ssc_507010_0040#0,"""ถ้ามันไม่ยาวมากล่ะก็นะ"""
ssc_507010_0050#0,"""อืม"""
ssc_507010_0060#0,"""เอาน่า อย่าพูดแบบนั้นสิ"""
ssc_507010_0070#0,"""มาสักพักแล้วล่ะนะ ที่ไม่ได้รู้สึกชอบ<br>สถานที่แห่งนี้เลย... เอล-นอสซ่า (El-Nossa) นี้น่ะ"""
ssc_507010_0080#0,"""มันทำให้ฉันนึกถึง<br>วันแห่งโชคชะตานั้นน่ะ"""
ssc_507010_0090#0,"""วันที่นาเดเรห์ (Nadereh) ร้อง<br>เพลงของเธอต่อหน้าทุกคน"""
ssc_507010_0100#0,"""ฝูงชนเงียบกริบ<br>เธอหน้าซีดเผือดและยืนนิ่งงัน"""
ssc_507010_0110#0,"""ด้วยความตื่นตระหนก ฉันก็เลยสั่งสลายการชุมนุม แต่เธอก็ยังยืนอยู่ตรงนั้น<br>สะอื้นไห้อย่างแผ่วเบา สั่นสะท้านอยู่ท่ามกลางความเงียบงัน"""
ssc_507010_0120#0,"""ทั้งก่อนหน้านั้นและหลังจากนั้น ฉันไม่เคย<br>เห็นเธอทำสีหน้าแบบนั้นอีกเลย"""
ssc_507010_0130#0,"""จนกระทั่งวันนั้น ทุกคนต่างก็<br>ทึกทักเอาเองว่าเธอมีพลังแห่งเสียงเพลง (Power of Song)"""
ssc_507010_0140#0,"""พลังแห่งเสียงเพลง (Power of Song) น่ะ<br>จะถูกสืบทอดจากพ่อแม่สู่ลูกเสมอล่ะนะ"""
ssc_507010_0150#0,"""พลังของเธอนั้นไม่ใช่สิ่งที่<br>ควรจะนำมาอวดให้คนอื่นดูหรอกนะ"""
ssc_507010_0160#0,"""โดยเฉพาะอย่างยิ่งในตอนที่ยังเด็กขนาดนั้น ก่อนที่<br>พลังจะมีโอกาสได้คงที่เสียอีก"""
ssc_507010_0170#0,"""เธอถูกสั่งห้ามไม่ให้แสดงการร้องเพลง<br>ให้ใครเห็น ยกเว้นอัลเดอเรีย (Alderea) แม่ของเธอ"""
ssc_507010_0180#0,"""ในตอนนั้น อัลเดอเรีย (Alderea) ได้บอกฉัน<br>เกี่ยวกับพลังแห่งเสียงเพลง (Power of Song) ของนาเดเรห์ (Nadereh)"""
ssc_507010_0190#0,"""เธอบอกว่าสักวันหนึ่ง พลังของนาเดเรห์ (Nadereh)<br>จะก้าวข้ามพลังของเธอไปเสียอีก"""
ssc_507010_0200#0,"""หลังจากที่อัลเดอเรีย (Alderea) จากไป ฉันก็ยังคง<br>ไม่เข้าใจว่าสิ่งที่เธอพูดหมายความว่ายังไงกันแน่"""
ssc_507010_0210#0,"""เคยคิดว่าสิ่งที่อัลเดอเรีย (Alderea) รู้สึกได้<br>ไม่ใช่พลังแห่งเสียงเพลง (Power of Song) ของนาเดเรห์ (Nadereh) หรอก..."""
ssc_507010_0220#0,"""แต่บางทีอาจจะเป็นพลังของเธอเอง<br>ที่ได้รับอิทธิพลจากการร้องเพลงของนาเดเรห์ (Nadereh)"""
ssc_507010_0230#0,"""...ไม่ว่ายังไงก็เถอะ คงไม่มีใครรู้หรอกว่าพลังที่แท้จริง<br>ของนาเดเรห์ (Nadereh) คืออะไร จนกระทั่งพวกเธอปรากฏตัวขึ้นมา"""
ssc_507010_0240#0,"""เธอคงพอจะจินตนาการออกใช่ไหมล่ะว่าเธอจะ<br>เป็นยังไงหลังจากเหตุการณ์แบบนั้นน่ะ"""
ssc_507010_0250#0,"""เธอมุ่งมั่นจดจ่ออยู่กับศิลปะการต่อสู้เพียงอย่างเดียว ราวกับว่าเธอ<br>กำลังพยายามชดเชยการสูญเสียพลังแห่งเสียงเพลง (Power of Song) ของตัวเอง"""
ssc_507010_0260#0,"""พวกเราในฐานะผู้ติดตามที่ซื่อสัตย์ ก็ไขว่คว้าหา<br>ความแข็งแกร่งด้วยความมุ่งมั่นที่เท่าเทียมกันเพื่อสนับสนุนเธอ"""
ssc_507010_0270#0,"""เนื่องจากการหยุดร้องเพลงอย่างกะทันหันของนาเดเรห์ (Nadereh) วัฒนธรรม<br>ทางดนตรีทั้งหมดของรีเทม (Retem) จึงเสื่อมถอยลงไปด้วย"""
ssc_507010_0280#0,"""วันแล้ววันเล่า พวกเราจะตื่นขึ้นมา ต่อสู้กับ<br>ศัตรูจนหมดแรง แล้วก็เข้านอน"""
ssc_507010_0290#0,"""กว่าจะรู้ตัว สิ่งนี้<br>ก็กลายเป็นกิจวัตรประจำวันของพวกเราไปซะแล้ว"""
ssc_507010_0300#0,"""ถ้าพวกเรายังคงทำแบบนั้นต่อไป เหล่า ARKS<br>ของรีเทม (Retem) ก็คงจะล่มสลายลงสักวันแน่ๆ"""
ssc_507010_0310#0,"""ในตอนที่ฉันเริ่มมีความกังวลเหล่านั้นอย่างจริงจัง<br>เธอและสาวๆ ก็ปรากฏตัวขึ้นมา แถมยังสง่างามมากด้วยนะ"""
ssc_507010_0320#0,"""หนุ่มสาวทั้งสามคนนี้จะ<br>เปลี่ยนแปลงบางอย่างในตัวพวกเราทุกคน"""
ssc_507010_0330#0,"""พอมาคิดดูตอนนี้แล้ว--ถึงแม้ฉันจะไม่มีหลักฐานมายืนยันก็เถอะ--<br>ขอพูดเลยว่าเป็นเพราะได้เฝ้าดูพวกเธอสามคนต่อสู้นี่แหละ"""
ssc_507010_0340#0,"""และสำหรับเรื่องที่เหลือ ก็นะ...<br>พวกเธอน่าจะรู้ดีกว่าฉันซะอีก"""
ssc_507010_0350#0,"""พลังที่แท้จริงของนาเดเรห์ (Nadereh) ตื่นขึ้น<br>และเรนัส รีเทม (Lenus Retem) ก็ถูกโค่นล้ม"""
ssc_507010_0360#0,"""และด้วยเหตุนั้น เสียงดนตรีจึงกลับคืนสู่รีเทม (Retem) อีกครั้ง"""
ssc_507010_0370#0,"""ขอพูดแบบนี้อีกสักครั้งนะ:<br>ขอบใจนะ"""
ssc_507010_0380#0,"""ก็ชอบเสียงดนตรีของรีเทม (Retem) มากเหมือนกันนะ"""
ssc_507010_0390#0,"""เขาว่ากันว่าบทเพลงและการต่อสู้คือสองด้านของเหรียญเดียวกันน่ะ"""
ssc_507010_0400#0,"""ขอบคุณนะ"""
ssc_507010_0410#0,"""ไปบอกคนอื่นๆ ด้วยล่ะ<br>พวกเขาคงจะดีใจมากเลยล่ะที่ได้ยินแบบนั้น"""
ssc_507010_0420#0,"""ใช่แล้วล่ะ มันเป็นสิ่งที่ไม่สามารถ<br>แยกออกจากเหล่า ARKS ของรีเทม (Retem) ได้เลย"""
ssc_507010_0430#0,"""ถึงแม้จะต้องใช้เวลาตั้งหลายปีเลยล่ะนะกว่าฉันจะตระหนักได้ถึงเรื่องนั้นน่ะ"""
ssc_507010_0440#0,"""ต้องขอบคุณเธอและเพื่อนๆ ของเธอเลยนะ ที่ตอนนี้หัวใจอันแก่ชราของฉัน<br>ไม่รู้สึกเจ็บปวดอีกต่อไปแล้วเวลาที่มายืนอยู่หน้าเอล-นอสซ่า (El-Nossa) นี้น่ะ"""
ssc_507010_0450#0,"""พวกเราเป็นหนี้บุญคุณพวกเธอจริงๆ"""
ssc_507010_0460#0,"""จากนี้ไป คงจะถึงตาของพวกเรา<br>ที่จะตอบแทนหนี้บุญคุณนี้บ้างแล้วล่ะ"""
ssc_507010_0470#0,"""ถ้าหากตกที่นั่งลำบากเมื่อไหร่ล่ะก็<br>แค่เอ่ยปากมาก็พอ"""
