ssc_507020_0010#0,"""โอ้ <%me> นี่เอง"""
ssc_507020_0020#0,"""พอได้มายืนอยู่ด้วยกันตรงนี้แบบนี้<br>ก็ทำให้นึกถึงความหลังขึ้นมาเลยล่ะ"""
ssc_507020_0030#0,"""ความทรงจำในวันที่<br>ได้พบกับเธอและสาวๆ น่ะ"""
ssc_507020_0040#0,"""...สถานที่แห่งนี้เป็นเพียง<br>เส้นทางการค้าเดียวระหว่างรีเทม (Retem) กับเอลิโอ (Aelio)"""
ssc_507020_0050#0,"""ดังนั้น มันจึงเป็น<br>สถานที่แห่งการพบพานมากมายเลยล่ะ"""
ssc_507020_0060#0,"""ที่นี่ก็ยังเป็นจุดที่<br>ได้พบกับบรูเดอร์ (Bruder) โดยบังเอิญด้วยนะ"""
ssc_507020_0070#0,"""...จนถึงตอนนี้ ก็ยังจำได้ดีเลยล่ะ"""
ssc_507020_0080#0,"""ในตอนนั้น ก็เหมือนกับตอนนี้แหละ ที่มี<br>ความเคลื่อนไหวของพวก DOLLS เพิ่มขึ้นอย่างมหาศาล"""
ssc_507020_0090#0,"""ทุกๆ วัน จะมีกลุ่มคน<br>กลุ่มใหญ่ออกลาดตระเวนระวังภัย"""
ssc_507020_0100#0,"""มีอยู่วันหนึ่ง ตอนที่กลุ่มของฉันกำลัง<br>ลาดตระเวนอยู่ พวกเราก็ถูกดักซุ่มโจมตีบริเวณนี้"""
ssc_507020_0110#0,"""พวกเรามีจำนวนน้อยกว่า ทีมของฉันกำลัง<br>ถูกต้อนให้จนมุมอย่างช้าๆ แต่ทว่าหลีกเลี่ยงไม่ได้"""
ssc_507020_0120#0,"""จนถึงขั้นที่ว่า ในความพยายามที่จะปกป้อง<br>ทีมเอาไว้ ฉันก็เลยกระโจนเข้าไปในดงศัตรูเพียงลำพัง"""
ssc_507020_0130#0,"""พอรู้สึกตัวอีกที ก็ฟันฝ่า<br>ศัตรูจนหลุดออกมาจากการถูกล้อมได้สำเร็จแล้วล่ะ"""
ssc_507020_0140#0,"""ตอนนั้นเองถึงได้สังเกตเห็นพวกเขา"""
ssc_507020_0150#0,"""มีคนหลายคนที่ไม่ได้อยู่ในทีมของฉัน<br>กำลังต่อสู้กับพวก DOLLS อยู่เหมือนกัน"""
ssc_507020_0160#0,"""นั่นก็คือทีมของบรูเดอร์ (Bruder)"""
ssc_507020_0170#0,"""ในตอนนั้น บรูเดอร์ (Bruder) มัวแต่ไปโฟกัส<br>กับศัตรูที่อยู่ข้างหน้ามากเกินไป"""
ssc_507020_0180#0,"""ด้วยความที่เสียสมาธิ เขาเลยไม่ทันสังเกตเห็น<br>พวก DOLLS ตัวอื่นๆ ที่กำลังขนาบข้างมาจากด้านหลัง"""
ssc_507020_0190#0,"""ในตอนนั้นเอง ฉันก็กวาดล้างศัตรูพวกนั้นเรียบ<br>ช่วยบรูเดอร์ (Bruder) จากสถานการณ์อันตรายนั้นไว้ได้"""
ssc_507020_0200#0,"""พวกเราเลยกลายมาเป็นสหายร่วมรบกันตั้งแต่นั้นมา"""
ssc_507020_0210#0,"""นั่นฟังดูไม่เหมือนเรื่องที่บรูเดอร์ (Bruder) เล่าให้ฟังเลยนะ"""
ssc_507020_0220#0,"""ค่อนข้างจะชอบเวอร์ชันของบรูเดอร์ (Bruder) มากกว่านะ"""
ssc_507020_0230#0,"""อะไรนะ?<br>บรูเดอร์ (Bruder) เล่าให้ฟังอีกแบบนึงงั้นเหรอ?"""
ssc_507020_0240#0,"""อืมมม ก็นะ บางทีตอนนั้นเขาอาจจะ<br>กำลังสับสนอยู่ก็ได้ล่ะมั้ง"""
ssc_507020_0250#0,"""หืม?<br>ที่พูดแบบนั้นหมายความว่ายังไงน่ะ?"""
ssc_507020_0260#0,"""...เอาเถอะ บางทีมันอาจจะดีนะถ้าได้รำลึก<br>ความหลังกับเขาบ้างเป็นบางครั้งน่ะ"""
ssc_507020_0270#0,"""ก่อนหน้านี้ ภัยคุกคามจากการต่อสู้อย่างต่อเนื่อง<br>ทำให้พวกเราไม่สามารถติดต่อกันได้เลย..."""
ssc_507020_0280#0,"""แต่ตอนนี้ มีโอกาสมากขึ้นแล้วล่ะที่จะได้<br>พูดคุยกับผู้คนจากเอลิโอ (Aelio) รวมไปถึงเขาด้วย"""
ssc_507020_0290#0,"""จากที่เคยคุยกันแต่เรื่องการต่อสู้<br>ตอนนี้ก็สามารถคุยเรื่องการใช้ชีวิตประจำวันได้มากขึ้นแล้ว"""
ssc_507020_0300#0,"""สิ่งนี้ และเรื่องอื่นๆ อีกมากมาย<br>ล้วนเป็นเพราะเธอและเพื่อนๆ ของเธอเลยนะ"""
ssc_507020_0310#0,"""ต้องขอบคุณจริงๆ นะ"""
