Begin#0,"""開始5150"""
Success#0,"""成功5150"""
Failure#0,"""失敗5150"""
Dead#0,"""自分死亡5150"""
BuddyDead#0,"""相手死亡5150"""
Evolution#0,"""発展5150"""
Begin#1,"""/ci1 3 Oh, it's you? This large red moon seems to be driving the enemies to violence. I'm sorry to have to ask, but can you assist us?"""
Success#1,"""/ci1 2 Suppression complete... Thank you for your support. Hopefully, things should begin to calm down now..."""
Failure#1,"""......"""
Dead#1,"""Guh... I was weak...<br>Itsuki, forgive me..."""
BuddyDead#1,"""Don't overdo it, Itsuki. I will take care of the rest."""
