Title#0,"""T:Regiment of the Wicked 2019"""
Explanation#0,"""An unusual concentration of power has<br>been observed in the Kuron area of<br>planet Harkotan. A huge moon is floating<br>in the sky, and reports suggest it is<br>driving nearby enemies into a frenzy.<br>All ARKS are being dispatched<br>immediately to investigate the situation<br>and suppress the frenzied enemies.<br>――――――――――――――――――――<br>Failure: Time limit expires"""
NpcComMsg1#0,"""Transfer will begin shortly. Your objective is to suppress the enemies and investigate the source of the power driving them into a frenzy."""
NpcComMsg2#0,"""The large red moon in the sky seems to be the cause, but it appears to have been formed from a concentration of unknown power."""
NpcComMsg3#0,"""We expect that you will face many dangerous battles. Please be careful, everyone!"""
SimpleExplanation#0,"""Head to the final area!"""
a1#0,"""Complete a certain Client Order."""
a2#0,"""Complete a certain Client Order."""
a3#0,"""Possess a Super Hard License."""
a4#0,"""Possess a Super Hard License."""
a5#0,"""Possess a Super Hard License."""
