Begin#0,"""開始5150"""
Success#0,"""成功5150"""
Failure#0,"""失敗5150"""
Dead#0,"""自分死亡5150"""
BuddyDead#0,"""相手死亡5150"""
Evolution#0,"""発展5150"""
Begin#1,"""/ci1 2 /mn2 <%me>!<br>That moon is making those enemies crazy strong! Can we ask for your help?"""
Success#1,"""/ci2 2 Thanks for your help!<br>...Watching you fight is amazing.<br>Alright, we'll work hard too!"""
Failure#1,"""......"""
Dead#1,"""Sorry, Aika. I guess I wasn't cool enough..."""
BuddyDead#1,"""Don't be too hard on yourself, Aika! I'll handle the rest!"""
