Title#0,"""화혼이 모이는 전도 2019"""
Explanation#0,"""행성 하루코탄 흑의 영역 상공에서<br>심상치 않은 요력의 집중이 관측됐다.<br>요력 탓인지 하늘에 거대한 보름달이 뜨고<br>현지 에너미는 위험한 광란 상태에<br>빠졌다는 보고도 들어오고 있다.<br>각 아크스는 즉시 출동해<br>조사와 진압에 나서라.<br>――――――――――――――――――――<br>실패 조건/제한 시간 경과"""
NpcComMsg1#0,"""곧 현지로 전송을 시작합니다.<br>이번 목적은 요력에 관한 조사와<br>흉포해진 에너미의 진압입니다."""
NpcComMsg2#0,"""상공에 보이는 거대한 붉은 달은<br>집중된 요력이 형상을 이룬 듯하며<br>그것이 이변의 원인 같습니다."""
NpcComMsg3#0,"""이 앞에서는 많은 위험이 따르는<br>격렬한 전투가 예상됩니다.<br>여러분, 부디 조심하세요!"""
SimpleExplanation#0,"""최심부를 향하라!"""
a1#0,"""특정 클라이언트 오더 클리어"""
a2#0,"""특정 클라이언트 오더 클리어"""
a3#0,"""슈퍼 하드 수주 허가증 소지"""
a4#0,"""슈퍼 하드 수주 허가증 소지"""
a5#0,"""슈퍼 하드 수주 허가증 소지"""
