Begin#0,"""/ci2 2 Good idea! With <%me><br>on our side, we should be able to finish this quickly!"""
Success#0,"""/ci1 2 /mn2 Wait, Mitarashi!<br>Thanks for your help. It was nice seeing you again!"""
Failure#0,"""After we asked for your help...<br>Sorry, we'll do better next time."""
Dead#0,"""Tch, they were too strong...<br>Sorry, Mitarashi!"""
BuddyDead#0,"""Huh, did they get you? My hands are full right now, so hold on a minute!"""
Begin#1,"""開始5150"""
Success#1,"""成功5150"""
Failure#1,"""失敗5150"""
Dead#1,"""自分死亡5150"""
BuddyDead#1,"""相手死亡5150"""
Evolution#0,"""発展5150"""
Begin#2,"""/ci1 2 /mn2 わーっ！\u3000スクショ用に光源を<br>探してたら、大変なことにーっ！？<br>す、スミマセン、手伝ってくださいっ！"""
Success#2,"""/ci2 2 /mn17 お手伝い、ありがとうございます！<br>助かっちゃいましたー！<br>では、私は光源探しに戻りますね！"""
Failure#2,"""あああ……失敗しちゃいましたー……<br>助けてもらったのに、ごめんなさい……"""
Dead#2,"""え、うそっ！？<br>ごめんなさい、やられちゃいました……"""
BuddyDead#2,"""わーわーっ！<br>猫ノ宮♪さん、言い方ぁー！<br>と、とにかく私たちで頑張ります！"""
