msc_013310_5010#0,"""ด้าห์!"""
msc_013310_5020#0,"""ฮ้า!"""
msc_013310_5030#0,"""ฮ่า!"""
msc_013310_0010#0,"""ฮึ่ม!"""
msc_013310_5040#0,"""ฮ่า!"""
msc_013310_5050#0,"""ฮ่า!"""
msc_013310_5060#0,"""ด้า!"""
msc_013310_5070#0,"""ฮ้า!"""
msc_013310_0020#0,"""ฮ้า!"""
msc_013310_5080#0,"""ฮ่ะ!"""
msc_013310_5090#0,"""ย้าก!"""
msc_013310_5100#0,"""ย้า!"""
msc_013310_5110#0,"""หืม?"""
msc_013310_0030#0,"""มากันเยอะจังเลย...!"""
msc_013310_0040#0,"""ไทวาส (Taivas)!"""
msc_013310_0050#0,"""เมรี่ (Meri)! เบี่ยงเบนความสนใจพวกมันที!"""
msc_013310_0060#0,"""หือ?!"""
msc_013310_0070#0,"""ทุลลี (Tulli) ทางนั้น!"""
msc_013310_0080#0,"""จัดให้..."""
msc_013310_5120#0,"""ย้ากกก!"""
msc_013310_5130#0,"""อีย้า!"""
msc_013310_5140#0,"""ยะ!"""
msc_013310_5150#0,"""ฟู่"""
msc_013310_0090#0,"""อ๊ะ...!"""
msc_013310_5160#0,"""ฮึ!"""
msc_013310_0100#0,"""อิลม่า (Ilma)!"""
msc_013310_0110#0,"""นายโอเคไหม?"""
msc_013310_5170#0,"""ฮ้าก!"""
msc_013310_0120#0,"""ฮ้า!"""
msc_013310_0130#0,"""สุดยอดไปเลย!"""
msc_013310_0140#0,"""พวกเขาเข้าขากันได้ดีนะ"""
msc_013310_5180#0,"""อ๊ะ!"""
msc_013310_5190#0,"""ฮ่ะ!"""
msc_013310_0150#0,"""ตัวนี้พวกเราจัดการเอง!"""
