msc_013320_0010#0,"""ทำได้ดีมากทุกคน!"""
msc_013320_0020#0,"""เป็นการทำงานเป็นทีมที่ยอดเยี่ยมมาก!"""
msc_013320_0030#0,"""รีบกลับไปเอาข้อมูลนั่นกันเถอะ"""
msc_013320_0040#0,"""อย่างที่คิดไว้เลย... มีข้อมูลเกี่ยวกับ Dark Falz อยู่ในฐานข้อมูลพวกนี้จริงๆ ด้วย"""
msc_013320_0050#0,"""หือ...?!"""
msc_013320_0060#0,"""ถ้ามีเจ้านี่... โอกาสที่เราจะเอาชนะ Dark Falz ได้ก็มีเพิ่มขึ้นมากเลยล่ะ"""
msc_013320_0070#0,"""หืม? นี่มันอะไรน่ะ...?"""
msc_013320_0080#0,"""คุณปู่...?!"""
msc_013330_0010#0,"""...ปู่ทิ้งข้อความนี้ไว้ให้หลานๆ ทุกคนนะ"""
msc_013330_0020#0,"""มีเรื่องนึงที่ปู่อยากจะบอกพวกหลานทุกคน"""
msc_013330_0030#0,"""หลังจากศึกษาข้อมูลที่หลงเหลืออยู่ในลอสต์เซ็นทรัล (Lost Central) ปู่ก็ได้ค้นพบอะไรบางอย่างเกี่ยวกับ Dark Falz ที่เคยอาละวาดที่นี่..."""
msc_013330_0040#0,"""ปู่พบว่ามันยังเติบโตไม่เต็มที่ มันยังไม่สามารถใช้พลังที่แท้จริงของมันได้"""
msc_013330_0050#0,"""ปู่เชื่อว่าในอนาคตอันใกล้นี้ Dark Falz จะปรากฏตัวขึ้นอีกครั้ง และจะเติบโตจนถึงขีดสุด"""
msc_013330_0060#0,"""ปู่ไม่รู้หรอกนะว่ามันจะมีประโยชน์แค่ไหน แต่ปู่ได้ทิ้งบันทึกการต่อสู้ระหว่างลอสต์เซ็นทรัล (Lost Central) กับ Dark Falz เอาไว้แล้ว"""
msc_013330_0070#0,"""ขอให้มันช่วยนำทางพวกหลานๆ ไปสู่วิธีการแก้ไขปัญหาได้นะ"""
msc_013330_0080#0,"""ไทวาส (Taivas), ทุลลี (Tulli), อิลม่า (Ilma), คุกก้า (Kukka), เมรี่ (Meri) ปู่คงจะอยู่ดูแลพวกหลานตลอดไปไม่ได้..."""
msc_013330_0090#0,"""และปู่หวังว่าพวกหลานจะให้อภัยปู่สำหรับเรื่องนี้นะ"""
msc_013330_0100#0,"""ปู่ภาวนาขอให้พวกหลานเติบโตเป็นผู้ใหญ่ที่ดี เมื่อพวกหลานทั้งห้าคนร่วมมือกัน ก็ไม่มีอะไรที่ทำไม่สำเร็จหรอก"""
msc_013330_0110#0,"""ดูแลกันและกันให้ดีนะ"""
msc_013330_0120#0,"""คุณปู่..."""
msc_013330_0130#0,"""ขอบคุณนะ คุณปู่"""
msc_013330_0140#0,"""ไม่ต้องเป็นห่วงพวกเราหรอกนะ พวกเราจะอยู่ด้วยกันตลอดไป"""
name01#0,"""ไรซาส (Rysas)"""
