msc_013230_0010#0,"""พวกเรากลับมาแล้ว!"""
msc_013230_0020#0,"""โอ้! กลับมากันแล้วเหรอ! ดีใจจังที่พวกเธอปลอดภัย!"""
msc_013230_0030#0,"""ไทวัส (Taivas) กับทุลลี (Tulli) เล่าให้ฉันฟังหมดแล้วล่ะว่าพวกเธอช่วยพวกเขาไว้ยังไงบ้าง"""
msc_013230_0040#0,"""อ๋อ ใช่ เราบังเอิญเจอพวกเขาข้างนอกน่ะ"""
msc_013230_0050#0,"""ขอบคุณมากเลยนะที่ช่วยน้องชายฉันไว้"""
msc_013230_0060#0,"""ไม่เป็นไรหรอก การช่วยเหลือกันมันเป็นเรื่องที่ควรทำอยู่แล้ว"""
msc_013230_0070#0,"""เดี๋ยวฉันช่วยนะ"""
msc_013230_0080#0,"""อืม... ขอบคุณนะ"""
msc_013230_0090#0,"""ฉันกวาดล้างรังของ DOLLS ไปหมดแล้ว... แต่ก็ไม่มีวี่แววของอิลม่า (Ilma) เลย"""
msc_013230_0100#0,"""งั้นเหรอ... ตอนนี้เราค้นหากันทั่วทั้งภูมิภาคแล้วนะเนี่ย อืม..."""
msc_013230_0110#0,"""ปกติเวลาแบบนี้อิลม่า (Ilma) มักจะคิดไอเดียเจ๋งๆ ออกเสมอแท้ๆ"""
msc_013230_0120#0,"""แต่เขากลับไม่อยู่ซะนี่..."""
msc_013230_0130#0,"""เรื่องนั้นฉันรู้แล้วน่า"""
msc_013230_0140#0,"""เอาล่ะ! พวกเราคงต้องกลับไปปูพรมค้นหาทั่วทุกพื้นที่อย่างละเอียดอีกรอบแล้วล่ะ! มันต้องมีอะไรสักอย่างที่เรามองข้ามไปแน่ๆ"""
msc_013230_0150#0,"""...มีอีกที่หนึ่งที่ฉันอยากลองไปดู"""
msc_013230_0160#0,"""หืม? ที่ไหนล่ะ?"""
msc_013230_0170#0,"""ลอสต์เซ็นทรัล (Lost Central)..."""
msc_013230_0180#0,"""เธอพูดอะไรออกมาน่ะ! ที่นั่นมันเขตหวงห้ามนะ!"""
msc_013230_0190#0,"""อิลม่า (Ilma) เคยแสดงท่าทีสนใจเมืองเก่ามาก่อนก็จริง... แต่ฉันไม่คิดว่าเขาจะกล้าเข้าใกล้ที่นั่นหรอก"""
msc_013230_0200#0,"""แต่นั่นเป็นที่เดียวที่เรายังไม่ได้ลองไปหาดูเลยนะ"""
msc_013230_0210#0,"""ไม่ได้เด็ดขาด! มันอันตรายเกินไป!"""
msc_013230_0220#0,"""ในฐานะพี่คนโต ฉันขอสั่งห้ามไม่ให้เธอไป! แค่นี้เธอก็ชอบทำอะไรตามใจตัวเองมากพอแล้วนะ!"""
msc_013230_0230#0,"""เข้าใจไหม? เวลานี้การทำงานเป็นทีมสำคัญที่สุดนะ!"""
msc_013230_0240#0,"""พอได้แล้วน่า ทั้งสองคน"""
msc_013230_0250#0,"""ถ้าคุณปู่มาเห็นพวกเราเป็นแบบนี้ เขาจะพูดว่ายังไง..."""
msc_013230_0260#0,"""...คุณปู่"""
msc_013230_0270#0,"""คุกก้า (Kukka) เธอจะไปไหนน่ะ?"""
