msc_013340_0010#0,"""พวกเธอช่วยพวกเราไว้ได้มากจริงๆ"""
msc_013340_0020#0,"""ฉันทำนี่มาให้พวกเธอน่ะ เอาไว้กินตอนขากลับนะ"""
msc_013340_0030#0,"""ขอบใจนะ"""
msc_013340_0040#0,"""พวกเราได้รับข้อมูลทั้งหมดแล้ว ภารกิจของพวกเธอเสร็จสมบูรณ์แล้วล่ะ"""
msc_013340_0050#0,"""ขอบคุณนะที่ช่วยอิลม่า (Ilma) เอาไว้ ฉันเป็นหนี้บุญคุณพวกเธออีกแล้ว"""
msc_013340_0060#0,"""ปล่อยเรื่องการปรับปรุงเซ็นทรัลแคนนอน (Central Cannon) ให้เป็นหน้าที่พวกเราเอง พวกเราจะจัดการร่วมกับครอว์ฟอร์ด (Crawford) ให้เสร็จเรียบร้อยเอง"""
msc_013340_0070#0,"""ทุกคนรีบกลับมาพักผ่อนให้เต็มที่เถอะ ครอว์ฟอร์ด (Crawford) ขอจบการสื่อสาร"""
msc_013340_0080#0,"""พวกเราก็ควรไปกันได้แล้วล่ะ"""
msc_013340_0090#0,"""ดูแลตัวเองด้วยนะ"""
msc_013340_0100#0,"""กลับมาเยี่ยมกันได้ตลอดเลยนะ..."""
msc_013340_0110#0,"""อื้ม!"""
msc_013340_0120#0,"""แน่นอน ไว้เจอกันนะทุกคน!"""
