msc_013300_0010#0,"""นี่มันดูเหมือน..."""
msc_013300_0020#0,"""ศูนย์ควบคุมของลอสต์เซ็นทรัล (Lost Central)... มันคือยูนิตหลักล่ะ"""
msc_013300_0030#0,"""ได้เวลาลองตรวจดูแล้ว"""
msc_013300_0040#0,"""พวกเธอพักผ่อนกันไปก่อนได้เลยนะ"""
msc_013300_0050#0,"""พวกเธอ จากเซ็นทรัลน่ะ มาตรงนี้แป๊บนึงได้ไหม?"""
msc_013300_0060#0,"""ฉันอยากให้ช่วยหน่อย ฉันจะจัดการเทอร์มินัลนี้..."""
msc_013300_0070#0,"""ได้สิ แน่นอน"""
msc_013300_0080#0,"""อืม... พลังงานมันดับหมดเลย แม้แต่ระบบสำรองด้วย"""
msc_013300_0090#0,"""คงทำอะไรไม่ได้มากหรอก เธอใช้แบตเตอรี่นี่สิ"""
msc_013300_0100#0,"""ไม่รับประกันนะว่าจะอยู่ได้นานไหม... อ่า ยูนิตรองดูเหมือนจะยังทำงานอยู่นะ"""
msc_013300_0110#0,"""โอ้ งั้นลองใช้นี่ดูสิ... เอาล่ะ ระบบหลักกลับมาทำงานแล้ว"""
msc_013300_0120#0,"""ฉันจะสลับพลังงานจากตัวรองไปตัวหลักนะ... ลองใช้เซฟโหมดดูก่อน เผื่อไว้"""
msc_013300_0130#0,"""ความคิดดี... เธอเก่งเอาเรื่องเลยนะเนี่ย ทุกอย่างราบรื่นมาก"""
msc_013300_0140#0,"""นายเองก็ไม่เลวเหมือนกันแหละ"""
msc_013300_0150#0,"""โห... มีคนที่เข้าใจสิ่งที่อิลม่า (Ilma) พูดด้วยแฮะ..."""
msc_013300_0160#0,"""นั่นมาน่อนไง เธอเก่งใช่ไหมล่ะ?"""
msc_013300_0170#0,"""ติดแล้ว...!"""
msc_013300_0180#0,"""แน่นอนอยู่แล้ว"""
msc_013300_0200#0,"""เอาล่ะ มาดูกันว่านายซ่อนอะไรไว้..."""
msc_013300_0210#0,"""DOLLS?!"""
msc_013300_0220#0,"""เราคงจะไปปลุกพวกมันขึ้นมาด้วยแหงๆ"""
msc_013300_0230#0,"""พวกเราจัดการเอง"""
msc_013300_0240#0,"""ฉันชักจะง่วงแล้วสิ ตอนยืนดูอิลม่า (Ilma) ทำงานเนี่ย..."""
