msc_013280_0010#0,"""อิลม่า (Ilma)...?"""
msc_013280_0020#0,"""หืม? อะไร...?"""
msc_013280_0030#0,"""อิลม่า (Ilma)!"""
msc_013280_0032#0,"""อิลม่า (Ilma)!"""
msc_013280_0034#0,"""อิลม่า (Ilma)!"""
msc_013280_0036#0,"""อิลม่า (Ilma)!"""
msc_013280_0040#0,"""พวกเธอทุกคนมาหาฉันเหรอ?"""
msc_013280_0050#0,"""นายมาทำอะไรที่นี่เนี่ย?"""
msc_013280_0060#0,"""พวกเราเป็นห่วงนายแทบแย่!"""
msc_013280_0070#0,"""ขอโทษทีนะ ฉันเจอเบาะแสวิธีเข้าไปในลอสต์เซ็นทรัล (Lost Central) ตอนกำลังดูงานวิจัยของคุณปู่อยู่น่ะ..."""
msc_013280_0080#0,"""ฉันแค่อยากจะมาดูรอบๆ แป๊บเดียวเอง... แต่ดันมีพวก DOLLS แข็งแกร่งมาขวางทางออกไว้ซะงั้น"""
msc_013280_0090#0,"""สัญญาณรบกวนมันเยอะเกินไปจนส่งข้อความไม่ได้เลย ฉันก็เลยติดแหง็กอยู่ที่นี่แหละ"""
msc_013280_0100#0,"""ขอบคุณนะที่มาช่วยฉัน"""
msc_013280_0110#0,"""นายเนี่ยไม่เคยเปลี่ยนเลยนะ"""
msc_013280_0120#0,"""ให้ตายสิ... นายชอบหมกมุ่นอยู่แต่กับการวิจัยตลอดเลย"""
msc_013280_0130#0,"""ช่วยไม่ได้ล่ะนะ..."""
msc_013280_0140#0,"""พวกเราเป็นห่วงมากเลย ดีใจนะที่นายปลอดภัย"""
msc_013280_0150#0,"""ค่อยยังชั่วหน่อย..."""
msc_013280_0160#0,"""พวกเราคงหาอิลม่า (Ilma) ไม่เจอแน่ๆ ถ้าไม่มีพวกเธอ!"""
msc_013280_0170#0,"""นั่นสิ ขอบคุณมากเลยนะ"""
msc_013280_0180#0,"""ไม่เอาน่า พวกเราก็ช่วยกันทั้งนั้นแหละ!"""
msc_013280_0190#0,"""อิลม่า (Ilma) พวกเราอยากให้นายช่วยหน่อย"""
msc_013280_0200#0,"""แล้วพวกเธอคือ...?"""
msc_013280_0210#0,"""ครอว์ฟอร์ด (Crawford) ส่งพวกเรามาจากเซ็นทรัลซิตี้ (Central City) น่ะ"""
msc_013280_0220#0,"""...อ่าฮะ"""
msc_013280_0230#0,"""ข้อมูลสำหรับปรับปรุงเซ็นทรัลแคนนอน (Central Cannon) สินะ"""
msc_013280_0240#0,"""พวกเรายืนยันได้แล้วว่าปืนใหญ่นั่นสามารถสร้างความเสียหายให้กับ Dark Falz ในการต่อสู้ครั้งก่อนได้"""
msc_013280_0250#0,"""แต่พวกเราก็ตระหนักได้ว่ายังมีปัญหาหลักอีกสองอย่างที่เราต้องเผชิญ"""
msc_013280_0260#0,"""อย่างแรกคือกำลังขับ ถึงเราจะสร้างความเสียหายได้บ้าง แต่มันก็ยังไม่พอที่จะทำลาย Dark Falz"""
msc_013280_0270#0,"""สำหรับเรื่องนี้ เราต้องการเครื่องเร่งอนุภาค Photon ที่สามารถบีบอัดและปล่อย Photon ประสิทธิภาพสูงได้"""
msc_013280_0280#0,"""อีกปัญหาคือความทนทาน ปืนใหญ่เสียหายหลังจากยิงไปแค่ครั้งเดียวเอง"""
msc_013280_0283#0,"""ดังนั้นเราเลยต้องการลำกล้องกับเครื่องเร่งอนุภาค Photon ที่เหมาะสม รวมถึงวัสดุสำหรับเสริมโครงสร้างของกลไกการยิงด้วย"""
msc_013280_0286#0,"""อย่างที่ฉันบอกครอว์ฟอร์ด (Crawford) ไป ตามการประเมินของฉัน เราแก้ปัญหาทั้งสองอย่างได้ ถ้าเราใช้วัสดุและเทคโนโลยีจากที่นี่"""
msc_013280_0290#0,"""และนั่นแหละคือปัญหาของเราตอนนี้ มันมีทรัพยากรและความรู้มากมายรอพวกเราอยู่ในส่วนลึกนี้ ณ เวลานี้เลยล่ะ!"""
msc_013280_0300#0,"""...เอ่อ"""
msc_013280_0310#0,"""นายช่วยอธิบายให้พวกเราฟังอีกรอบได้ไหม อิลม่า (Ilma)?"""
msc_013280_0320#0,"""อ่า พูดอีกอย่างก็คือ... พวกเขาเคยขับไล่ Dark Falz ด้วยอาวุธที่นี่ในลอสต์เซ็นทรัล (Lost Central) น่ะ"""
msc_013280_0330#0,"""ฉันเจอเทคโนโลยีของพวกเขาบ้างแล้ว แต่ฉันคิดว่ามันน่าจะมีอะไรที่ดีกว่านี้อยู่ข้างล่างนั่นนะ"""
msc_013280_0350#0,"""อะไรนะ...?"""
msc_013280_0360#0,"""เดี๋ยวลงไปลึกกว่านี้ก็เห็นเองแหละ มาสิทุกคน!"""
