11_voice_NPC_5591_100#0,"""Hmhm, hmhmh~m♪<br>Oho, it's Leader, isn't it?"""
11_voice_NPC_5591_201#0,"""Why am I in such a good mood? Eheheheh... Why don't you ask Gene about it?"""
11_voice_NPC_5591_109#0,"""Aaah! I can't stand it any longer!<br>Don't stare at me so much!!"""
text02002#0,"""This swimsuit... It's just so concealing! I wonder if I should take it off♪"""
text03001#0,"""I much prefer swimsuits like the one Gene has on..."""
11_voice_NPC_5591_104#0,"""But no, I couldn't... That style is all her. Oh, forget I said anything."""
text04001#0,"""Leader...<br>It's so hot today, isn't it?"""
11_voice_NPC_5591_201#1,"""You should take your clothes off when it's hot, shouldn't you? If you ask me, you should take them off even if it isn't! Give it a try♪"""
11_voice_NPC_5591_202#0,"""Heheheh... You did it! There's nothing left to interrupt us on the beach! Thank you, Leader♪"""
text05002#0,"""Now that that's settled... Why don't you and I have our very own summer adventure..."""
11_voice_NPC_5590_103#0,"""Bluesy Requiem...<br>If I think you're trying to slip away, I will report you to Seraphy."""
11_voice_NPC_5591_203#0,"""S-Seraphy... No, don't do that! Seraphy's punishments...<br>Last time, she made me write \""I will take my work seriously\"" 100 times..."""
11_voice_NPC_5591_204#0,"""I don't want to have to go through that again... Um... I understand.<br>We'll have our adventure some other time... OK?"""
Title#0,"""PSO2es"""
text0001#0,"""For a limited time, the PSO2es characters Gene, Annette, and Bluesy Requiem's Weaponoid are appearing in PSO2!<br><br>PSO2es is a game you can play on your smartphone. You can experience exciting action with simple touch-swipe controls.<br><br>Do battle against mighty enemies with Weaponoids, partners based on familiar weapons from PSO2, at your side!<br>In story mode, experience an epic story in the PSO2 universe, alongside Gene, More and the Darker Busters team, plus new friends like Akhtar, Lien and the Weaponoids!"""
text0002#0,"""PSO2 and PSO2es can be linked to share data. By linking the two games, you can play PSO2es with your PSO2 characters. PSO2es lets you enjoy play PSO2es anytime, anywhere, and improves your efficiency in PSO2 by letting you level up characters on the go, and acquire PSO2es-exclusive items.<br><br>If you're interested, download it now! Play PSO2es, and get to know characters like Gene and Annette! The Darker Busters, the Weaponoids and even more fun characters are waiting for you to start your new adventure!!"""
Title#1,"""PSO2es"""
text0001#1,"""For a limited time, the PSO2es characters Gene, Annette, and Bluesy Requiem's Weaponoid are appearing in swimsuits in PSO2!<br><br>PSO2es is a game you can play on your smartphone. You can experience exciting action with simple touch-swipe controls.<br><br>Do battle against mighty enemies with Weaponoids, partners based on familiar weapons from PSO2, at your side! In story mode, experience an epic story in the PSO2 universe, alongside Gene, More and the Darker Busters team, plus new friends like Akhtar, Lien and the Weaponoids!"""
text0002#1,"""PSO2 and PSO2es can be linked to share data. By linking the two games, you can play PSO2es with your PSO2 characters. PSO2es lets you enjoy play PSO2es anytime, anywhere, and improves your efficiency in PSO2 by letting you level up characters on the go, and acquire PSO2es-exclusive items.<br><br>If you're interested, download it now! Play PSO2es, and get to know characters like Gene and Annette! A new adventure awaits you!!"""
