Title#0,"""T:빗바람과 함께 2018"""
Explanation#0,"""행성 나베리우스 삼림 에어리어에서<br>기묘한 목소리와 함께 급격한<br>기상 변화가 발생한다는 보고가 들어왔다.<br>에너미의 흉포화도 확인됐으며<br>다른 임무에도 악영향이 우려된다.<br>즉시 현지로 향해 이상 원인을 조사하고<br>동시에 가능한 한 많은 에너미를 격퇴하라.<br>―――――――――――――――――――<br>룸 내 퀘스트 포인트 공유/있음<br>제한 시간 경과 시 퀘스트 종료"""
SimpleExplanation#0,"""시간 안에 최대한 많은 에너미를 격퇴하라!"""
NpcComMsg1#0,"""지금부터 전송을 시작합니다.<br>이번 목적은 삼림 에어리어의<br>원인 불명 기상 변화를 조사하는 것입니다."""
NpcComMsg2#0,"""보고에 따르면 비가 내리는 동안<br>평소와 다른 강력한 개체의 출현이<br>확인되고 있습니다."""
NpcComMsg3#0,"""현재 날씨는 맑지만<br>조사 중에 기상 변화가 일어날 것으로<br>예상됩니다. 주의해 주세요."""
Area0S#0,"""삼림 에어리어 1"""
Area0L#0,"""행성 나베리우스 삼림 에어리어 1"""
Area1S#0,"""삼림 에어리어 2"""
Area1L#0,"""행성 나베리우스 삼림 에어리어 2"""
a1#0,"""특정 클라이언트 오더 클리어"""
a2#0,"""특정 클라이언트 오더 클리어"""
a3#0,"""슈퍼 하드 수주 허가증 소지"""
a4#0,"""슈퍼 하드 수주 허가증 소지"""
