Title#0,"""Защита платформы: Кончина"""
Explanation#0,"""Внимание всем АРКС. Был замечен мощный скачок<br>показаний, которые, кажется, принадлежат ”Апрентис”,<br>под землёй горнодобывающей базы Лилипа.<br>Отправляйтесь к ”Апрентис” на разведочной<br>платформе оснащённой пушкой фотонных<br>частиц нового типа. Защищайте базы. Ожидаются появления<br>волн даркеров на пути.<br>――――――――――――――――――――<br>Зачищено 6 Волн<br>Поражение: все базы были уничтожены"""
SimpleExplanation#0,"""Защитите исследовательскую платформу!"""
Wave1_Talk#0,"""Даркеры стали сильней.<br>Пожалуйста, уничтожьте врага и<br>защитите башни с помощью A.I.S."""
Wave2_Talk#0,"""Даркеры на подходе.<br>Пожалуйста, постарайтесь сохранить<br>базы как можно целее."""
Wave3_Talk#0,"""Даркеры эрозировали внешний вид A.I.S..<br>У них повышенная защита к A.I.S.. Пожалуйста, старайтесь<br>как можно быстрей уничтожать<br>зараженных A.I.S.."""
Wave4_Talk#0,"""Следите за появлениями зараженных A.I.S..<br>Пожалуйста, остерегайтесь их лучей."""
Wave5_Talk#0,"""Осталось немного до [Апрентис]…!<br>Постарайтесь продержаться!"""
Wave6_Talk#0,"""Подтверждаем появление [Апрентис]!<br>Пожалуйста, ослабьте её, пока не зарядится<br>пушка фотонных частиц!"""
Wave1_Talk_Cool#0,"""【若人】討伐作戦を開始します！<br>多数のダーカーの襲撃が予想されるので<br>正結晶を集めて備えましょう！"""
Wave2_Talk_Cool#0,"""一つでも拠点が残っていれば<br>【若人】の撃破は可能です！<br>全て破壊されないように注意です！"""
Wave3_Talk_Cool#0,"""無事に乗り切れましたねって、あれ？<br>出撃準備中のＡ．Ｉ．Ｓに侵食反応が<br>ありますね……。気をつけてください！"""
Wave4_Talk_Cool#0,"""侵食されたＡ．Ｉ．Ｓの<br>フォトンブラスターは破壊できます！<br>撃たれても破壊すれば止められますよ！"""
Wave5_Talk_Cool#0,"""最深部に近づいてきましたね！<br>【若人】襲撃に備えて、正結晶の回収と<br>拠点の耐久値を回復しましょう！"""
Wave6_Talk_Cool#0,"""最深部に侵食液を確認！\u3000危険です！<br>探査艇の高所へと避難し<br>急停止の衝撃に備えてください！"""
NpcCom00#0,"""NPC通信：クールタイム開始Type9"""
NpcCom01#0,"""拠点、全損しました……<br>これではどうしようもありません。<br>帰還してください。"""
NpcCom02#0,"""作戦、完了です！<br>素晴らしい活躍でしたね！<br>それじゃ、帰還してください！"""
NpcCom03#0,"""作戦完了です。<br>損害もありましたが、許容範囲です。<br>帰還してください。"""
NpcCom04#0,"""作戦完了です、が、被害も大きいです。<br>とはいえ、なんとかなったので<br>これぐらいは必要経費ですね。"""
NpcCom05#0,"""これにて作戦完了となります。<br>次回作戦では、防衛に貢献できるよう<br>もっともーっと頑張りましょうね！"""
NpcCom06#0,"""強力な敵性反応を確認しました！<br>皆さん、警戒してください！"""
NpcCom07#0,"""$(0)拠点が襲われています！<br>救援に向かってください！"""
NpcCom08#0,"""$(0)拠点が陥落寸前！<br>このままではまずいです！<br>急ぎ救援に向かってください！"""
NpcCom09#0,"""この反応は……！<br>注意してください！<br>ダーカーが強化されています！"""
NpcCom10#0,"""敵性反応が減少しています！<br>もう少し、頑張ってください！"""
NpcCom11#0,"""敵性反応、残りあと僅かです！<br>ここが踏ん張り所ですよ！"""
NpcCom12#0,"""ゴルドラーダのエネルギー増大中！<br>自爆の前兆です、退避してください！"""
NpcCom12_Last#0,"""……よし、凌ぎきりました！<br>ダーカーが撤退していきます！"""
NpcCom13#0,"""拠点の破壊を確認！<br>残存拠点は一つ、なんとしてでも<br>守りきってくださいね！"""
NpcCom14#0,"""拠点、破壊されました！<br>残り２つの拠点を守りきってください！"""
NpcCom15#0,"""NPC通信：拠点破壊時に残り拠点が３つType9"""
NpcCom16#0,"""NPC通信：拠点破壊時に残り拠点が4つType9"""
barricade0#0,"""NPC通信：第一防衛ラインバリケード破壊時Type9"""
barricade1#0,"""NPC通信：第二防衛ラインバリケード破壊時Type9"""
barricade2#0,"""NPC通信：最終防衛ラインバリケード破壊時Type9"""
NpcComMsg1_Meritta#0,"""まもなく転送開始ですよー！<br>地中探査艇でダークファルス【若人】の<br>もとへ向かってくださいっ！"""
NpcComMsg2_Meritta#0,"""あとあとっ、新型フォトン粒子砲は<br>エネルギータンクが要です！<br>破壊されないように、守ってください！"""
NpcComMsg1#0,"""まもなく転送開始となります！<br>地中探査艇で、ダークファルス【若人】の<br>場所まで向かってください！"""
NpcComMsg2#0,"""新型フォトン粒子砲も設置完了です！<br>エネルギータンクを守り、必殺の一撃を<br>どかんとぶつけちゃってくださいね！"""
a1#0,"""Завершите определённый частный заказ"""
a2#0,"""Завершите определённый частный заказ"""
a3#0,"""Получите лиц. одобр-я \""СС\"" сложности"""
a4#0,"""Получите лиц. одобр-я \""СС\"" сложности"""
