Title#0,"""T: Защита базы: Отчаяние"""
Explanation#0,"""アークス各員に緊急連絡。<br>惑星リリーパの採掘基地周辺に<br>強力な多数のダーカー反応を確認した。<br>既に侵食は進み、絶望的な状況下にある。<br>だが、我々は諦めるわけにはいかない。<br>拠点防衛用に新たに開発された<br>A.I.Sを駆使し、ダーカーを迎撃せよ。<br>――――――――――――――――――――<br>Зачищено 8 Волн<br>Поражение: все базы были уничтожены"""
SimpleExplanation#0,"""Защитите горнодобывающую базу!"""
Wave1_Talk#0,"""Даркеры прибыли! Они обращают<br>защитные платформы...<br>Пожалуйста, работайте слажено,<br>чтобы победить их!"""
Wave2_Talk#0,"""Подтверждаю появиление башен<br>даркеров! Активируйте ваших<br>A.I.S. и заставьте врага<br>отступить!"""
Wave3_Talk#0,"""В небе не подтверждённая<br>активность! Что-то может<br>прибыть... Пожалуйста, будьте<br>осторожны!"""
Wave4_Talk#0,"""Фиксирую активности с разных<br>мест! Будьте осторожны, чтобы<br>не попасть в западню!"""
Wave5_Talk#0,"""Обнаружены новые показания!<br>Фиксирую появления башен<br>даркеров! Будьте внимательны!"""
Wave6_Talk#0,"""Такие огромные показания...<br>Надеюсь, это последние из<br>подобных? В любом случае, удачи!"""
Wave7_Talk#0,"""Ч-ч-что!?  Что это!? Впервые<br>наблюдаю такие огромные<br>показания врага! Пожалуйста,<br>будьте очень осторожны!"""
Wave8_Talk#0,"""Появился ещё один мощный враг!<br>Это последняя волна, хотя<br>я не уверена в этом!<br>Пожалуйста, поднажмите!"""
Wave1_Talk_Cool#0,"""Кажется, многие кристалы<br>собираются в четырёх углах этой<br>местности. Используйсте<br>катапульты, чтобы быстрее до<br>них добираться!"""
Wave2_Talk_Cool#0,"""Если оставлять всё как есть,<br>то на зараженных защитных<br>платформах будут формироваться<br>башни даркеров.<br>Будьте внимательны!"""
Wave3_Talk_Cool#0,"""Существует множество функций,<br>которые можно использовать для<br>защиты баз! Обязательно<br>используйте восстановление<br>здоровья или барьер!"""
Wave4_Talk_Cool#0,"""Ооо... Глядите!<br>Кристалы сияют так ярко!<br>Продолжайте их собирать!"""
Wave5_Talk_Cool#0,"""Не забывайте очищать зараженные<br>платформы... В противном случае<br>искажение будет только расти.<br>Приготовьтесь к следующей атаке!"""
Wave6_Talk_Cool#0,"""В той стороне большая<br>активность! Ваш A.I.S. готовы?<br>Не забывайте о пушке фотонных<br>частиц!"""
Wave7_Talk_Cool#0,"""Отличная работа! Я думаю, что<br>это всё... А? Погодите. Здесь...<br>ещё какая-то активность..."""
Wave8_Talk_Cool#0,"""Перед тем, как наступит новая<br>волна, соберите как можно больше<br>кристалов! На этот раз всё будет<br>очень опасно!"""
NpcComMsg1#0,"""Мы начнём операцию в ближайшее<br>время. Похоже, что искажение<br>распространилось, поэтому,<br>пожалуйста, будьте осторожны!"""
NpcComMsg2#0,"""В опасных ситуациях рекомендую<br>вам использовать ваш A.I.S.<br>для отражения волн даркеров.<br>Удачи!"""
a1#0,"""Завершите определённый частный заказ"""
a2#0,"""Завершите определённый частный заказ"""
a3#0,"""Получите лиц. одобр-я \""СС\"" сложности"""
a4#0,"""Получите лиц. одобр-я \""СС\"" сложности"""
