Title#0,"""T: Тренировка защиты базы: VR"""
Explanation#0,"""本任務は、ＶＲ空間にて行う<br>採掘基地防衛戦の実戦訓練である。<br><br>状況対応能力の向上を目的とするため<br>ダーカー以外の種族も出現し、さらには<br>A.I.Sの使用を禁止した訓練となる。<br>アークス各員の奮戦を期待する。<br>――――――――――――――――――――<br>Зачищено 6 Волн<br>Поражение: все базы были уничтожены"""
SimpleExplanation#0,"""Защитите горнодобывающую базу!"""
Wave1_Talk#0,"""Враг прибыл! Пожалуйста,<br>проверьте карту и ваши позиции,<br>и защитите базы!"""
Wave2_Talk#0,"""Вы не можете использовать<br>платформы искаженные<br>Сорза Брадой. Уничтожение<br>даркеров приоритетно!"""
Wave3_Talk#0,"""Зараженные A.I.S. Экзода<br>и башни частиц даркеров<br>начали появляться!<br>Не забывайте о них!"""
Wave4_Talk#0,"""Большое колличество врагов<br>прибыло! Для защиты баз,<br>уничтожьте их!"""
Wave5_Talk#0,"""Если вы видите Сорза Браду,<br>пожалуйста, постарайтесь<br>уничтожить её! Очень опасно<br>оставлять её в живых!"""
Wave6_Talk#0,"""Эти враги будут атаковать<br>всеми силами! Это будет<br>мощная волна.<br>Пожалуйста, поднажмите!"""
Wave7_Talk#0,"""Прибывают очень мощные<br>фантомы! Пожалуйста, будьте<br>осторожны!"""
Wave8_Talk#0,"""Если вы сейчас сдадитесь,<br>то всё будет кончено!<br>Не сдавайтесь до<br>самого конца и<br>защищайте базы!"""
Wave1_Talk_Cool#0,"""Обучение защиты базы, начинаем!<br>Защитите базу от приближающихся<br>врагов!"""
Wave2_Talk_Cool#0,"""Следующая волна будет сложнее!<br>Пожалуйста, обезопасьте платформы<br>и убедитесь, что они<br>не заражены!"""
Wave3_Talk_Cool#0,"""Собирая кристалы, вы сможете<br>воспользоваться функциями<br>терминала и защитных платформ!<br>Давайте собирать их как можно<br>эффективнее, а так же<br>и использовать!"""
Wave4_Talk_Cool#0,"""На следующей волне враги будут<br>использовать различные пути!<br>Не обманывайтесь, пологаясь<br>на то, где они появляются!"""
Wave5_Talk_Cool#0,"""На следующей волне будут<br>прибывать разные типы врагов!<br>Пожалуйста, подготовьтесь<br>соответствующе!"""
Wave6_Talk_Cool#0,"""Следующая волна будет<br>сосредоточена только на одной<br>базе! Поскольку это будет полный<br>хаос, давайте соберём достаточно<br>кристалов для подготовки!"""
Wave7_Talk_Cool#0,"""Фантомы начнут появляться со<br>следующей волной. Вы не сможете<br>использовать этих врагов,<br>поэтому обратите внимание<br>на их движения!"""
Wave8_Talk_Cool#0,"""Это будет последняя волна.<br>Запомните всю тренировку<br>и сделайте всё возможное!"""
NpcCom00#0,"""***"""
NpcCom01#0,"""Все базы уничтожены...<br>Тренировка окончена.<br>Немедленно возвращайтесь."""
NpcCom02#0,"""Обучение закончено! Вы отлично<br>поработали! Пожалуйста,<br>вернитесь, как только сможете!"""
NpcCom03#0,"""Тренировка звуончена. Есть<br>повреждения, но они приемлемы.<br>Пожалуйста, вернитесь<br>как сможете."""
NpcCom04#0,"""Тренировка окончена. Нанесёно<br>много урона, но вы смогли<br>продержаться. Пожалуйста,<br>вернитесь, как закончите."""
NpcCom05#0,"""Тренировка закончена. Вы должны<br>стремиться к большему<br>результату. Постарайтесь<br>в следующий раз!"""
NpcCom06#0,"""Подтверждаю большую активность<br>противников. Будьте<br>осторожны!"""
NpcCom07#0,"""$(0) база<br>подверглась нападению!<br>Пожалуйста, защитите её!"""
NpcCom08#0,"""$(0) база<br>находится на грани разрушения!<br>Пожалуйста, направляйтесь к ней<br>и защитите её, пока всё<br>не стало слишком поздно!"""
NpcCom09#0,"""Прибывают всё более сильные версии врагов!<br>Пожалуйста, подготовьтесь к перехвату!"""
NpcCom10#0,"""Активность врагов пропадает!<br>Так держать!"""
NpcCom11#0,"""Осталось всего-лишь несколько врагов!<br>Держитесь!"""
NpcCom12#0,"""Активность врагов усиливается!<br>Они собираются броситься<br>в базу и взорваться!<br>Пожалуйста, эвакуируйтесь!"""
NpcCom12_Wave05#0,"""Активность врагов усиливается!<br>Они собираются броситься<br>в базу и взорваться!<br>Пожалуйста, эвакуируйтесь!"""
NpcCom12_Last#0,"""Отличная работа! Это была<br>трудная тренировка, но вы<br>справились!"""
NpcCom13#0,"""Подтверждаю разрушение базы!<br>Осталось только одна база.<br>Пожалуйста, защитите её!"""
NpcCom14#0,"""База уничтожена!<br>Пожалуйста, защитите<br>две оставшиеся!"""
NpcCom15#0,"""***"""
NpcCom16#0,"""***"""
barricade0#0,"""***"""
barricade1#0,"""***"""
barricade2#0,"""***"""
NpcComMsg1#0,"""Телепортация начнётся<br>в ближайшее время. Эта<br>тренировка чрезвычайно сложная,<br>но, пожалуйста, приложите все<br>усилия!"""
NpcComMsg2#0,"""В этой миссии вы сможете<br>использовать A.I.S. и очиску<br>платорм, так что вам<br>действительно необходимо во всём<br>этом разобраться!"""
a1#0,"""Завершите определённый частный заказ"""
a2#0,"""Завершите определённый частный заказ"""
a3#0,"""Получите лиц. одобр-я \""СС\"" сложности"""
a4#0,"""Получите лиц. одобр-я \""СС\"" сложности"""
