name01#0,"""Zeno"""
name02#0,"""Afin"""
name03#0,"""Echo"""
skit01#0,"""/ci1 2 W-what the! There's no way we can beat something that big..."""
cu_090020_0090#0,"""Zeno! The return Telepipe will be ready once you kill that big Darker!"""
skit03#0,"""/ci1 2 Understood, Echo. I'll use my Photon Blast to take it down. Rookies, buy me some time!"""
skit04#0,"""/ci1 2 Don't try and beat it yourselves. Just focus on staying alive."""
skit01#1,"""W-what the! There's no way we can beat something that big..."""
cu_090020_0090#1,"""Zeno! The return Telepipe will be ready once you kill that big Darker!"""
skit03#1,"""Understood, Echo. I'll use my Photon Blast to take it down. Rookies, buy me some time!"""
skit04#1,"""Don't try and beat it yourselves. Just focus on staying alive."""
