name01#0,"""Hilda"""
11_voice_navi02_122#0,"""Each weapon has a variety of uses.<br>Try them out and get used to them."""
text00#0,"""Using weapons"""
text01#0,"""Using weapons"""
text100#0,"""Weapon Actions"""
text101#0,"""The Rear Palette"""
text1000#0,"""Guard: <%WeaponAction><br>※Becomes a Just Guard if you Guard right before an attack hits you"""
text1000_3b#0,"""Guard: <%MainPaletteC><br>※Becomes a Just Guard if you Guard right before an attack hits you"""
text1001#0,"""Switch palettes: <%WeaponAction><br>Use Photon Art: <%NormalAttack>"""
text1001_3b#0,"""Switch palettes: <%WeaponAction_2><br>Use Photon Art: <%NormalAttack>"""
text1002#0,"""Switch palettes: <%WeaponAction><br>Use Technique: <%NormalAttack>"""
text1002_3b#0,"""Switch palettes: <%WeaponAction_2><br>Use Technique: <%NormalAttack>"""
text1003#0,"""Switch palettes: <%WeaponAction><br>Use Photon Art: <%NormalAttack>"""
text1003_3b#0,"""Switch palettes: <%WeaponAction_2><br>Use Photon Art: <%NormalAttack>"""
text1004#0,"""Weapon Action: <%WeaponAction><br>※Does different things depending on the situation"""
text1004_3b#0,"""Weapon Action: <%MainPaletteC><br>※Does different things depending on the situation"""
text1005#0,"""Switch palettes: <%WeaponAction><br>Use Photon Art: <%NormalAttack>"""
text1005_3b#0,"""Switch palettes: <%WeaponAction_2><br>Use Photon Art: <%NormalAttack>"""
