Title#0,"""El futuro que forjaste"""
Explanation#0,"""No quiero un mundo sin ti en él.<br>Incluso si así es como se<br>supone que debe ser.<br>Incluso si no hay esperanza<br>de cambiarlo.<br>No aceptaré un futuro sin ti.<br>――――――――――――――――――――<br>Auto Dolls do not work<br>Cannot use Half Dolls/Scape Dolls"""
StoryExplanation#0,"""No quiero un mundo sin ti en él.<br>Incluso si así es como se<br>supone que debe ser.<br>Incluso si no hay esperanza<br>de cambiarlo.<br>No aceptaré un futuro sin ti."""
SimpleExplanation#0,"""Derrota a [Primordial Darkness]!"""
Area0S#0,"""?????"""
Area0L#0,"""?????"""
Area1S#0,"""Entre espacio y tiempo: Área final"""
Area1L#0,"""Entre espacio y tiempo: Área final"""
NpcComMsg1#0,"""転送装置メッセージ1\u3000神獣＋二足テストクエスト"""
NpcComMsg2#0,"""転送装置メッセージ2\u3000神獣＋二足テストクエスト"""
NpcComMsg3#0,"""転送装置メッセージ3\u3000神獣＋二足テストクエスト"""
NpcComMsg1#1,"""Esto es... Puedo sentir los sentimientos de todos."""
NpcComMsg2#1,"""Todo lo que ellos han vivido. Todo lo que ellos han pasado...<br>Todos sus deseos se reunen aqui."""
NpcComMsg3#1,"""Ellos se han convertido en una luz para purificar a la oscuridad<br>... Una gran luz..."""
NpcComMsg1#2,"""No queda nada mas que decir.<br>Solo quiero agradecerles<br>a tod@s por no luchar solos."""
NpcComMsg2#2,"""No quiero verte desaparecer.<Br>Todos iremos a casa juntos<br>¡¿Entendido?!"""
NpcComMsg3#2,"""¡Nadie debe de ser sacrificado esta vez!.<br>¡Crearemos un nuevo futuro juntos!..."""
