msc_013180_0010#0,"""Thanks for the save."""
msc_013180_0020#0,"""So, you are...?"""
msc_013180_0030#0,"""... I'm Tulli."""
msc_013180_0040#0,"""Kukka told me about you guys. You're looking for Ilma, right?"""
msc_013180_0050#0,"""Yeah, have you found any clues?"""
msc_013180_0060#0,"""I've been busting DOLLS nests while I've been looking, to make sure nobody sets foot in them... But no, I haven't."""
msc_013180_0070#0,"""We'll help you."""
msc_013180_0080#0,"""Nah... I'll be alright. I work better alone."""
msc_013180_0090#0,"""Huh...?"""
msc_013180_0100#0,"""Hey, wait...!"""
msc_013180_0110#0,"""You three... You've got skill."""
msc_013180_0120#0,"""Taivas is up ahead, in the Mistra Forest."""
msc_013180_0130#0,"""Go help him out."""
msc_013180_0140#0,"""I'm gonna clean up any DOLLS in the area... and then return."""
