name01#0,"""Visiting Braver"""
name02#0,"""Visiting Bouncer"""
name03#0,"""？？？"""
msc_013160_0010#0,"""Oh, there's some new faces."""
msc_013160_0020#0,"""Um... Are you two from around here?"""
msc_013160_0030#0,"""Nah, we're ARKS from Central City. We came here to gather some materials."""
msc_013160_0040#0,"""Have you seen any other ARKS in this region? Someone that looks like this?"""
msc_013160_0050#0,"""Ahh, we passed by that person just recently."""
msc_013160_0060#0,"""Yeah. He had a Katana in his hand and he definitely didn't need our help."""
msc_013160_0070#0,"""Which way did he go?!"""
msc_013160_0080#0,"""He went further in. He shouldn't be too far, you might still able to catch up to him."""
msc_013160_0090#0,"""Thank you!"""
